Directory of Federal Real Property
Real Property and Materiel Policy Division
Treasury Board of Canada Secretariat
Government of Canada

Security Level: Not Protected
Date: January 6th, 2023
Sort order:
Character set: ISO 8859 Latin 1
Field Delimiter: Comma
Text Qualifier: Double quote
Field Names: Included in line 16
Data: Begins on line 17
Help: DFRP-ADMIN-RBIF@tbs-sct.gc.ca

"Structure Number (TEXT data)","Structure Use Code (TEXT data)","Structure Use"
"050000","31 ","Industrial"
"050005","29 ","Residential"
"050059","45 ","Office"
"050061","51 ","Research and Technological Development"
"050062","51 ","Research and Technological Development"
"050064","51 ","Research and Technological Development"
"050066","51 ","Research and Technological Development"
"050073","45 ","Office"
"050078","45 ","Office"
"050080","45 ","Office"
"050083","45 ","Office"
"050085","31 ","Industrial"
"050086","31 ","Industrial"
"050086","63 ","Warehouse, Storage and Workshops"
"050100","80 ","Legislative, Judicial, and Diplomatic"
"050101","29 ","Residential"
"050102","29 ","Residential"
"050113","80 ","Legislative, Judicial, and Diplomatic"
"050115","29 ","Residential"
"050116","29 ","Residential"
"050132","45 ","Office"
"050150","80 ","Legislative, Judicial, and Diplomatic"
"050150","45 ","Office"
"050160","29 ","Residential"
"050177","29 ","Residential"
"050190","80 ","Legislative, Judicial, and Diplomatic"
"050247","29 ","Residential"
"050279","29 ","Residential"
"050352","29 ","Residential"
"050354","29 ","Residential"
"050362","29 ","Residential"
"050363","29 ","Residential"
"050364","29 ","Residential"
"050365","29 ","Residential"
"050367","29 ","Residential"
"050375","29 ","Residential"
"050394","29 ","Residential"
"050395","29 ","Residential"
"050396","29 ","Residential"
"050397","29 ","Residential"
"050398","29 ","Residential"
"050404","29 ","Residential"
"050408","29 ","Residential"
"050409","29 ","Residential"
"050426","29 ","Residential"
"050438","29 ","Residential"
"050439","29 ","Residential"
"050442","29 ","Residential"
"050448","29 ","Residential"
"050454","29 ","Residential"
"050456","80 ","Legislative, Judicial, and Diplomatic"
"050468","29 ","Residential"
"050521","29 ","Residential"
"050555","29 ","Residential"
"050618","29 ","Residential"
"050681","29 ","Residential"
"050712","29 ","Residential"
"050713","80 ","Legislative, Judicial, and Diplomatic"
"050792","80 ","Legislative, Judicial, and Diplomatic"
"050810","80 ","Legislative, Judicial, and Diplomatic"
"050892","29 ","Residential"
"050898","29 ","Residential"
"050899","29 ","Residential"
"050912","29 ","Residential"
"050938","29 ","Residential"
"050945","80 ","Legislative, Judicial, and Diplomatic"
"050983","29 ","Residential"
"051007","29 ","Residential"
"051008","80 ","Legislative, Judicial, and Diplomatic"
"051025","80 ","Legislative, Judicial, and Diplomatic"
"051040","29 ","Residential"
"051043","29 ","Residential"
"051073","80 ","Legislative, Judicial, and Diplomatic"
"051074","29 ","Residential"
"051099","29 ","Residential"
"051102","80 ","Legislative, Judicial, and Diplomatic"
"051104","29 ","Residential"
"051105","29 ","Residential"
"051108","29 ","Residential"
"051113","29 ","Residential"
"051114","29 ","Residential"
"051115","29 ","Residential"
"051123","29 ","Residential"
"051161","29 ","Residential"
"051165","29 ","Residential"
"051173","80 ","Legislative, Judicial, and Diplomatic"
"051234","47 ","Parks and Recreation"
"051239","80 ","Legislative, Judicial, and Diplomatic"
"051242","29 ","Residential"
"051243","29 ","Residential"
"051244","29 ","Residential"
"051245","80 ","Legislative, Judicial, and Diplomatic"
"051246","29 ","Residential"
"051274","80 ","Legislative, Judicial, and Diplomatic"
"051276","80 ","Legislative, Judicial, and Diplomatic"
"051288","80 ","Legislative, Judicial, and Diplomatic"
"051289","29 ","Residential"
"051292","29 ","Residential"
"051294","29 ","Residential"
"051306","29 ","Residential"
"051307","29 ","Residential"
"051308","29 ","Residential"
"051309","29 ","Residential"
"051310","29 ","Residential"
"051312","80 ","Legislative, Judicial, and Diplomatic"
"051312","45 ","Office"
"051313","29 ","Residential"
"051314","29 ","Residential"
"051315","29 ","Residential"
"051316","29 ","Residential"
"051319","29 ","Residential"
"051349","80 ","Legislative, Judicial, and Diplomatic"
"051350","29 ","Residential"
"051351","29 ","Residential"
"051377","29 ","Residential"
"051397","29 ","Residential"
"051429","80 ","Legislative, Judicial, and Diplomatic"
"051430","29 ","Residential"
"051439","29 ","Residential"
"051458","29 ","Residential"
"051461","29 ","Residential"
"051464","29 ","Residential"
"051465","29 ","Residential"
"051467","29 ","Residential"
"051468","29 ","Residential"
"051470","29 ","Residential"
"051472","29 ","Residential"
"051506","80 ","Legislative, Judicial, and Diplomatic"
"051515","29 ","Residential"
"051524","29 ","Residential"
"051534","80 ","Legislative, Judicial, and Diplomatic"
"051538","29 ","Residential"
"051547","80 ","Legislative, Judicial, and Diplomatic"
"051567","29 ","Residential"
"051568","29 ","Residential"
"051569","29 ","Residential"
"051570","29 ","Residential"
"051571","29 ","Residential"
"051572","29 ","Residential"
"051574","29 ","Residential"
"051583","29 ","Residential"
"051589","80 ","Legislative, Judicial, and Diplomatic"
"051601","29 ","Residential"
"051614","29 ","Residential"
"051626","29 ","Residential"
"051652","80 ","Legislative, Judicial, and Diplomatic"
"051677","80 ","Legislative, Judicial, and Diplomatic"
"051690","29 ","Residential"
"051694","29 ","Residential"
"051695","29 ","Residential"
"051696","29 ","Residential"
"051697","29 ","Residential"
"051698","29 ","Residential"
"051701","29 ","Residential"
"051702","29 ","Residential"
"051742","80 ","Legislative, Judicial, and Diplomatic"
"051743","29 ","Residential"
"051786","29 ","Residential"
"051790","29 ","Residential"
"051791","29 ","Residential"
"051792","29 ","Residential"
"051793","29 ","Residential"
"051794","29 ","Residential"
"051795","29 ","Residential"
"051796","29 ","Residential"
"051797","29 ","Residential"
"051798","29 ","Residential"
"051799","29 ","Residential"
"051800","29 ","Residential"
"051804","29 ","Residential"
"051805","29 ","Residential"
"051808","29 ","Residential"
"051809","29 ","Residential"
"051810","29 ","Residential"
"051811","29 ","Residential"
"051816","29 ","Residential"
"051817","29 ","Residential"
"051818","29 ","Residential"
"051819","29 ","Residential"
"051821","29 ","Residential"
"051822","29 ","Residential"
"051825","80 ","Legislative, Judicial, and Diplomatic"
"051829","80 ","Legislative, Judicial, and Diplomatic"
"051853","45 ","Office"
"051855","29 ","Residential"
"051856","29 ","Residential"
"051876","29 ","Residential"
"051894","29 ","Residential"
"051928","80 ","Legislative, Judicial, and Diplomatic"
"051931","29 ","Residential"
"052050","29 ","Residential"
"052061","29 ","Residential"
"052065","29 ","Residential"
"052079","29 ","Residential"
"052205","03 ","Transportation - Marine"
"053001","45 ","Office"
"053001","63 ","Warehouse, Storage and Workshops"
"053002","45 ","Office"
"053002","63 ","Warehouse, Storage and Workshops"
"053004","63 ","Warehouse, Storage and Workshops"
"053005","45 ","Office"
"053005","63 ","Warehouse, Storage and Workshops"
"053010","45 ","Office"
"053010","63 ","Warehouse, Storage and Workshops"
"053028","63 ","Warehouse, Storage and Workshops"
"053044","45 ","Office"
"053044","63 ","Warehouse, Storage and Workshops"
"053049","45 ","Office"
"053056","45 ","Office"
"053056","63 ","Warehouse, Storage and Workshops"
"053075","45 ","Office"
"053076","63 ","Warehouse, Storage and Workshops"
"053111","51 ","Research and Technological Development"
"053111","13 ","Assembly and Cultural"
"053111","45 ","Office"
"053111","10 ","Commercial Retail"
"053111","63 ","Warehouse, Storage and Workshops"
"053111","63 ","Warehouse, Storage and Workshops"
"053183","51 ","Research and Technological Development"
"053183","45 ","Office"
"053183","63 ","Warehouse, Storage and Workshops"
"053210","45 ","Office"
"053210","09 ","Communications"
"053210","63 ","Warehouse, Storage and Workshops"
"053249","45 ","Office"
"053249","63 ","Warehouse, Storage and Workshops"
"053249","63 ","Warehouse, Storage and Workshops"
"053274","45 ","Office"
"053277","45 ","Office"
"053330","63 ","Warehouse, Storage and Workshops"
"053333","63 ","Warehouse, Storage and Workshops"
"053336","45 ","Office"
"053336","17 ","Education and Training"
"053338","45 ","Office"
"053340","45 ","Office"
"053340","63 ","Warehouse, Storage and Workshops"
"053340","63 ","Warehouse, Storage and Workshops"
"053346","45 ","Office"
"053346","63 ","Warehouse, Storage and Workshops"
"053370","45 ","Office"
"053370","31 ","Industrial"
"053370","63 ","Warehouse, Storage and Workshops"
"053371","45 ","Office"
"053375","45 ","Office"
"053375","63 ","Warehouse, Storage and Workshops"
"053379","45 ","Office"
"053382","45 ","Office"
"053522","51 ","Research and Technological Development"
"053522","45 ","Office"
"053522","63 ","Warehouse, Storage and Workshops"
"053540","45 ","Office"
"053540","63 ","Warehouse, Storage and Workshops"
"053556","45 ","Office"
"053556","63 ","Warehouse, Storage and Workshops"
"053556","63 ","Warehouse, Storage and Workshops"
"053563","51 ","Research and Technological Development"
"053571","45 ","Office"
"053571","31 ","Industrial"
"053571","63 ","Warehouse, Storage and Workshops"
"053604","45 ","Office"
"053610","45 ","Office"
"053617","45 ","Office"
"053617","31 ","Industrial"
"053617","63 ","Warehouse, Storage and Workshops"
"053617","63 ","Warehouse, Storage and Workshops"
"053619","63 ","Warehouse, Storage and Workshops"
"053624","29 ","Residential"
"053624","45 ","Office"
"053631","17 ","Education and Training"
"053631","13 ","Assembly and Cultural"
"053631","45 ","Office"
"053631","63 ","Warehouse, Storage and Workshops"
"053636","45 ","Office"
"053661","51 ","Research and Technological Development"
"053661","45 ","Office"
"053661","31 ","Industrial"
"053661","63 ","Warehouse, Storage and Workshops"
"053669","45 ","Office"
"053676","29 ","Residential"
"053677","29 ","Residential"
"053678","29 ","Residential"
"053679","29 ","Residential"
"053680","29 ","Residential"
"053684","29 ","Residential"
"053686","29 ","Residential"
"053687","29 ","Residential"
"053690","29 ","Residential"
"053691","29 ","Residential"
"053692","29 ","Residential"
"053701","17 ","Education and Training"
"053701","13 ","Assembly and Cultural"
"053701","45 ","Office"
"053701","41 ","Military"
"053701","80 ","Legislative, Judicial, and Diplomatic"
"053701","31 ","Industrial"
"053701","63 ","Warehouse, Storage and Workshops"
"053701","63 ","Warehouse, Storage and Workshops"
"053703","45 ","Office"
"053703","63 ","Warehouse, Storage and Workshops"
"053705","45 ","Office"
"053737","45 ","Office"
"053737","63 ","Warehouse, Storage and Workshops"
"053743","45 ","Office"
"053743","31 ","Industrial"
"053743","47 ","Parks and Recreation"
"053743","63 ","Warehouse, Storage and Workshops"
"053743","63 ","Warehouse, Storage and Workshops"
"053753","45 ","Office"
"053753","47 ","Parks and Recreation"
"053753","63 ","Warehouse, Storage and Workshops"
"053754","45 ","Office"
"053754","63 ","Warehouse, Storage and Workshops"
"053755","45 ","Office"
"053755","31 ","Industrial"
"053755","47 ","Parks and Recreation"
"053755","63 ","Warehouse, Storage and Workshops"
"054078","13 ","Assembly and Cultural"
"054078","51 ","Research and Technological Development"
"054078","45 ","Office"
"054078","41 ","Military"
"054078","31 ","Industrial"
"054078","17 ","Education and Training"
"054078","63 ","Warehouse, Storage and Workshops"
"054095","45 ","Office"
"054095","80 ","Legislative, Judicial, and Diplomatic"
"054095","31 ","Industrial"
"054095","63 ","Warehouse, Storage and Workshops"
"054095","63 ","Warehouse, Storage and Workshops"
"054097","13 ","Assembly and Cultural"
"054097","45 ","Office"
"054097","41 ","Military"
"054097","31 ","Industrial"
"054097","63 ","Warehouse, Storage and Workshops"
"054097","63 ","Warehouse, Storage and Workshops"
"054103","45 ","Office"
"054105","51 ","Research and Technological Development"
"054105","45 ","Office"
"054105","31 ","Industrial"
"054105","63 ","Warehouse, Storage and Workshops"
"054105","63 ","Warehouse, Storage and Workshops"
"054112","45 ","Office"
"054112","63 ","Warehouse, Storage and Workshops"
"054112","63 ","Warehouse, Storage and Workshops"
"054118","31 ","Industrial"
"054204","63 ","Warehouse, Storage and Workshops"
"054223","45 ","Office"
"054230","45 ","Office"
"054230","63 ","Warehouse, Storage and Workshops"
"054231","17 ","Education and Training"
"054231","51 ","Research and Technological Development"
"054231","13 ","Assembly and Cultural"
"054231","45 ","Office"
"054231","80 ","Legislative, Judicial, and Diplomatic"
"054231","17 ","Education and Training"
"054231","63 ","Warehouse, Storage and Workshops"
"054242","45 ","Office"
"054242","63 ","Warehouse, Storage and Workshops"
"054261","45 ","Office"
"054261","80 ","Legislative, Judicial, and Diplomatic"
"054261","63 ","Warehouse, Storage and Workshops"
"054300","45 ","Office"
"054302","45 ","Office"
"054302","63 ","Warehouse, Storage and Workshops"
"054312","45 ","Office"
"054357","45 ","Office"
"054357","63 ","Warehouse, Storage and Workshops"
"054415","26 ","Health, Medical and Dental"
"054415","45 ","Office"
"054415","47 ","Parks and Recreation"
"054415","63 ","Warehouse, Storage and Workshops"
"054415","63 ","Warehouse, Storage and Workshops"
"054421","45 ","Office"
"054421","63 ","Warehouse, Storage and Workshops"
"054435","45 ","Office"
"054435","63 ","Warehouse, Storage and Workshops"
"054435","63 ","Warehouse, Storage and Workshops"
"054439","45 ","Office"
"054444","26 ","Health, Medical and Dental"
"054444","45 ","Office"
"054447","51 ","Research and Technological Development"
"054447","45 ","Office"
"054454","51 ","Research and Technological Development"
"054454","45 ","Office"
"054454","63 ","Warehouse, Storage and Workshops"
"054459","45 ","Office"
"054463","45 ","Office"
"054463","80 ","Legislative, Judicial, and Diplomatic"
"054463","63 ","Warehouse, Storage and Workshops"
"054466","17 ","Education and Training"
"054466","45 ","Office"
"054466","41 ","Military"
"054466","63 ","Warehouse, Storage and Workshops"
"054475","45 ","Office"
"054475","63 ","Warehouse, Storage and Workshops"
"054489","45 ","Office"
"054498","13 ","Assembly and Cultural"
"054498","45 ","Office"
"054498","41 ","Military"
"054498","31 ","Industrial"
"054498","17 ","Education and Training"
"054498","63 ","Warehouse, Storage and Workshops"
"054501","63 ","Warehouse, Storage and Workshops"
"054533","80 ","Legislative, Judicial, and Diplomatic"
"054537","13 ","Assembly and Cultural"
"054549","45 ","Office"
"054564","45 ","Office"
"054564","63 ","Warehouse, Storage and Workshops"
"054564","63 ","Warehouse, Storage and Workshops"
"054565","45 ","Office"
"054565","63 ","Warehouse, Storage and Workshops"
"054565","63 ","Warehouse, Storage and Workshops"
"054577","45 ","Office"
"054577","63 ","Warehouse, Storage and Workshops"
"054577","63 ","Warehouse, Storage and Workshops"
"054582","13 ","Assembly and Cultural"
"054582","45 ","Office"
"054582","31 ","Industrial"
"054582","63 ","Warehouse, Storage and Workshops"
"054595","45 ","Office"
"054595","63 ","Warehouse, Storage and Workshops"
"054605","13 ","Assembly and Cultural"
"054605","45 ","Office"
"054605","63 ","Warehouse, Storage and Workshops"
"054610","45 ","Office"
"054610","17 ","Education and Training"
"054610","63 ","Warehouse, Storage and Workshops"
"054610","63 ","Warehouse, Storage and Workshops"
"054613","13 ","Assembly and Cultural"
"054613","45 ","Office"
"054613","63 ","Warehouse, Storage and Workshops"
"054613","63 ","Warehouse, Storage and Workshops"
"054614","13 ","Assembly and Cultural"
"054614","45 ","Office"
"054614","31 ","Industrial"
"054614","63 ","Warehouse, Storage and Workshops"
"054614","63 ","Warehouse, Storage and Workshops"
"054616","45 ","Office"
"054616","63 ","Warehouse, Storage and Workshops"
"054617","45 ","Office"
"054617","80 ","Legislative, Judicial, and Diplomatic"
"054617","63 ","Warehouse, Storage and Workshops"
"054617","63 ","Warehouse, Storage and Workshops"
"054631","45 ","Office"
"054631","17 ","Education and Training"
"054631","63 ","Warehouse, Storage and Workshops"
"054668","45 ","Office"
"054672","45 ","Office"
"054672","63 ","Warehouse, Storage and Workshops"
"054692","13 ","Assembly and Cultural"
"054692","45 ","Office"
"054692","41 ","Military"
"054692","80 ","Legislative, Judicial, and Diplomatic"
"054692","47 ","Parks and Recreation"
"054692","63 ","Warehouse, Storage and Workshops"
"054692","63 ","Warehouse, Storage and Workshops"
"054705","45 ","Office"
"054705","63 ","Warehouse, Storage and Workshops"
"054733","45 ","Office"
"054733","31 ","Industrial"
"054733","63 ","Warehouse, Storage and Workshops"
"054745","63 ","Warehouse, Storage and Workshops"
"054824","45 ","Office"
"054824","31 ","Industrial"
"054824","63 ","Warehouse, Storage and Workshops"
"054825","13 ","Assembly and Cultural"
"054827","45 ","Office"
"054855","45 ","Office"
"054855","63 ","Warehouse, Storage and Workshops"
"054864","13 ","Assembly and Cultural"
"054864","45 ","Office"
"054864","80 ","Legislative, Judicial, and Diplomatic"
"054864","31 ","Industrial"
"054864","17 ","Education and Training"
"054864","63 ","Warehouse, Storage and Workshops"
"054864","63 ","Warehouse, Storage and Workshops"
"054869","45 ","Office"
"054869","63 ","Warehouse, Storage and Workshops"
"054878","45 ","Office"
"054878","41 ","Military"
"054878","31 ","Industrial"
"054878","47 ","Parks and Recreation"
"054878","17 ","Education and Training"
"054878","63 ","Warehouse, Storage and Workshops"
"054878","63 ","Warehouse, Storage and Workshops"
"054881","45 ","Office"
"054881","41 ","Military"
"054881","17 ","Education and Training"
"054885","45 ","Office"
"054899","17 ","Education and Training"
"054899","13 ","Assembly and Cultural"
"054899","45 ","Office"
"054899","41 ","Military"
"054899","80 ","Legislative, Judicial, and Diplomatic"
"054899","47 ","Parks and Recreation"
"054899","63 ","Warehouse, Storage and Workshops"
"054899","63 ","Warehouse, Storage and Workshops"
"054911","45 ","Office"
"054928","45 ","Office"
"054948","29 ","Residential"
"054949","29 ","Residential"
"054961","45 ","Office"
"054961","41 ","Military"
"054963","45 ","Office"
"054963","63 ","Warehouse, Storage and Workshops"
"054966","45 ","Office"
"054966","17 ","Education and Training"
"054966","63 ","Warehouse, Storage and Workshops"
"054966","63 ","Warehouse, Storage and Workshops"
"054971","45 ","Office"
"054971","63 ","Warehouse, Storage and Workshops"
"054971","63 ","Warehouse, Storage and Workshops"
"054972","45 ","Office"
"054972","41 ","Military"
"054972","80 ","Legislative, Judicial, and Diplomatic"
"054972","31 ","Industrial"
"054972","47 ","Parks and Recreation"
"054972","63 ","Warehouse, Storage and Workshops"
"054972","63 ","Warehouse, Storage and Workshops"
"054973","45 ","Office"
"054973","41 ","Military"
"054973","80 ","Legislative, Judicial, and Diplomatic"
"054973","31 ","Industrial"
"054973","63 ","Warehouse, Storage and Workshops"
"054973","63 ","Warehouse, Storage and Workshops"
"054974","45 ","Office"
"054974","63 ","Warehouse, Storage and Workshops"
"054974","63 ","Warehouse, Storage and Workshops"
"054975","17 ","Education and Training"
"054975","45 ","Office"
"054975","41 ","Military"
"054975","31 ","Industrial"
"054975","10 ","Commercial Retail"
"054975","63 ","Warehouse, Storage and Workshops"
"054977","17 ","Education and Training"
"054977","13 ","Assembly and Cultural"
"054977","45 ","Office"
"054977","31 ","Industrial"
"054977","47 ","Parks and Recreation"
"054995","29 ","Residential"
"054996","29 ","Residential"
"054998","29 ","Residential"
"055082","45 ","Office"
"055089","45 ","Office"
"055093","45 ","Office"
"055163","45 ","Office"
"055163","80 ","Legislative, Judicial, and Diplomatic"
"055163","63 ","Warehouse, Storage and Workshops"
"055176","45 ","Office"
"055197","63 ","Warehouse, Storage and Workshops"
"055202","45 ","Office"
"055251","45 ","Office"
"055255","45 ","Office"
"055335","45 ","Office"
"055336","45 ","Office"
"055341","45 ","Office"
"055376","45 ","Office"
"055502","45 ","Office"
"055502","63 ","Warehouse, Storage and Workshops"
"055505","45 ","Office"
"055505","31 ","Industrial"
"055505","63 ","Warehouse, Storage and Workshops"
"055518","45 ","Office"
"055518","63 ","Warehouse, Storage and Workshops"
"055528","80 ","Legislative, Judicial, and Diplomatic"
"055547","45 ","Office"
"055559","45 ","Office"
"055560","45 ","Office"
"055560","63 ","Warehouse, Storage and Workshops"
"055561","51 ","Research and Technological Development"
"055561","45 ","Office"
"055561","63 ","Warehouse, Storage and Workshops"
"055563","17 ","Education and Training"
"055563","13 ","Assembly and Cultural"
"055563","45 ","Office"
"055563","80 ","Legislative, Judicial, and Diplomatic"
"055563","17 ","Education and Training"
"055563","63 ","Warehouse, Storage and Workshops"
"055581","26 ","Health, Medical and Dental"
"055581","45 ","Office"
"055581","41 ","Military"
"055581","17 ","Education and Training"
"055581","63 ","Warehouse, Storage and Workshops"
"055584","26 ","Health, Medical and Dental"
"055584","45 ","Office"
"055584","17 ","Education and Training"
"055584","63 ","Warehouse, Storage and Workshops"
"055602","63 ","Warehouse, Storage and Workshops"
"055633","17 ","Education and Training"
"055633","45 ","Office"
"055633","31 ","Industrial"
"055633","47 ","Parks and Recreation"
"055633","17 ","Education and Training"
"055633","63 ","Warehouse, Storage and Workshops"
"055645","45 ","Office"
"055645","80 ","Legislative, Judicial, and Diplomatic"
"055650","17 ","Education and Training"
"055650","51 ","Research and Technological Development"
"055650","13 ","Assembly and Cultural"
"055650","45 ","Office"
"055650","41 ","Military"
"055650","47 ","Parks and Recreation"
"055650","63 ","Warehouse, Storage and Workshops"
"055654","45 ","Office"
"055660","45 ","Office"
"055668","45 ","Office"
"055669","26 ","Health, Medical and Dental"
"055669","51 ","Research and Technological Development"
"055669","45 ","Office"
"055701","45 ","Office"
"055701","63 ","Warehouse, Storage and Workshops"
"055704","45 ","Office"
"055704","63 ","Warehouse, Storage and Workshops"
"055710","26 ","Health, Medical and Dental"
"055710","51 ","Research and Technological Development"
"055710","45 ","Office"
"055710","41 ","Military"
"055710","31 ","Industrial"
"055710","63 ","Warehouse, Storage and Workshops"
"055712","51 ","Research and Technological Development"
"055712","45 ","Office"
"055712","41 ","Military"
"055712","31 ","Industrial"
"055712","47 ","Parks and Recreation"
"055712","17 ","Education and Training"
"055712","63 ","Warehouse, Storage and Workshops"
"055712","63 ","Warehouse, Storage and Workshops"
"055728","45 ","Office"
"055740","51 ","Research and Technological Development"
"055740","45 ","Office"
"055740","41 ","Military"
"055740","31 ","Industrial"
"055740","63 ","Warehouse, Storage and Workshops"
"055746","17 ","Education and Training"
"055746","13 ","Assembly and Cultural"
"055746","45 ","Office"
"055746","41 ","Military"
"055746","31 ","Industrial"
"055746","10 ","Commercial Retail"
"055746","17 ","Education and Training"
"055746","63 ","Warehouse, Storage and Workshops"
"055760","45 ","Office"
"055760","31 ","Industrial"
"055760","63 ","Warehouse, Storage and Workshops"
"055776","26 ","Health, Medical and Dental"
"055776","45 ","Office"
"055776","41 ","Military"
"055776","31 ","Industrial"
"055776","63 ","Warehouse, Storage and Workshops"
"055784","45 ","Office"
"055784","31 ","Industrial"
"055784","63 ","Warehouse, Storage and Workshops"
"055785","31 ","Industrial"
"055785","45 ","Office"
"055786","26 ","Health, Medical and Dental"
"055786","51 ","Research and Technological Development"
"055786","13 ","Assembly and Cultural"
"055786","45 ","Office"
"055786","41 ","Military"
"055786","31 ","Industrial"
"055786","17 ","Education and Training"
"055786","63 ","Warehouse, Storage and Workshops"
"055786","63 ","Warehouse, Storage and Workshops"
"055787","45 ","Office"
"055787","41 ","Military"
"055787","31 ","Industrial"
"055787","63 ","Warehouse, Storage and Workshops"
"055787","63 ","Warehouse, Storage and Workshops"
"055790","45 ","Office"
"055792","45 ","Office"
"055806","63 ","Warehouse, Storage and Workshops"
"055808","45 ","Office"
"055811","45 ","Office"
"055811","63 ","Warehouse, Storage and Workshops"
"055811","63 ","Warehouse, Storage and Workshops"
"055814","17 ","Education and Training"
"055814","26 ","Health, Medical and Dental"
"055814","51 ","Research and Technological Development"
"055814","45 ","Office"
"055814","47 ","Parks and Recreation"
"055814","63 ","Warehouse, Storage and Workshops"
"055839","45 ","Office"
"055839","63 ","Warehouse, Storage and Workshops"
"055849","45 ","Office"
"055849","41 ","Military"
"055857","17 ","Education and Training"
"055857","45 ","Office"
"055857","80 ","Legislative, Judicial, and Diplomatic"
"055857","31 ","Industrial"
"055857","17 ","Education and Training"
"055857","63 ","Warehouse, Storage and Workshops"
"055857","63 ","Warehouse, Storage and Workshops"
"055867","45 ","Office"
"055867","31 ","Industrial"
"055867","63 ","Warehouse, Storage and Workshops"
"055870","63 ","Warehouse, Storage and Workshops"
"055889","51 ","Research and Technological Development"
"055889","45 ","Office"
"055889","47 ","Parks and Recreation"
"055889","63 ","Warehouse, Storage and Workshops"
"055892","45 ","Office"
"055892","63 ","Warehouse, Storage and Workshops"
"055906","51 ","Research and Technological Development"
"055906","13 ","Assembly and Cultural"
"055906","45 ","Office"
"055906","63 ","Warehouse, Storage and Workshops"
"055909","13 ","Assembly and Cultural"
"055927","45 ","Office"
"055927","31 ","Industrial"
"055927","63 ","Warehouse, Storage and Workshops"
"055933","45 ","Office"
"055935","45 ","Office"
"055935","63 ","Warehouse, Storage and Workshops"
"055936","45 ","Office"
"055938","51 ","Research and Technological Development"
"055938","45 ","Office"
"055938","63 ","Warehouse, Storage and Workshops"
"055984","51 ","Research and Technological Development"
"055984","45 ","Office"
"055984","47 ","Parks and Recreation"
"055984","63 ","Warehouse, Storage and Workshops"
"056024","63 ","Warehouse, Storage and Workshops"
"056027","63 ","Warehouse, Storage and Workshops"
"056040","05 ","Transportation - Air"
"056045","63 ","Warehouse, Storage and Workshops"
"056048","63 ","Warehouse, Storage and Workshops"
"056057","45 ","Office"
"056060","09 ","Communications"
"056104","29 ","Residential"
"056105","63 ","Warehouse, Storage and Workshops"
"056108","29 ","Residential"
"056110","29 ","Residential"
"056120","63 ","Warehouse, Storage and Workshops"
"056129","51 ","Research and Technological Development"
"056135","29 ","Residential"
"056140","29 ","Residential"
"056143","63 ","Warehouse, Storage and Workshops"
"056154","63 ","Warehouse, Storage and Workshops"
"056156","63 ","Warehouse, Storage and Workshops"
"056172","63 ","Warehouse, Storage and Workshops"
"056177","63 ","Warehouse, Storage and Workshops"
"056181","63 ","Warehouse, Storage and Workshops"
"056202","63 ","Warehouse, Storage and Workshops"
"056204","63 ","Warehouse, Storage and Workshops"
"056210","63 ","Warehouse, Storage and Workshops"
"056215","63 ","Warehouse, Storage and Workshops"
"056224","63 ","Warehouse, Storage and Workshops"
"056227","29 ","Residential"
"056247","63 ","Warehouse, Storage and Workshops"
"056269","51 ","Research and Technological Development"
"056293","29 ","Residential"
"056296","63 ","Warehouse, Storage and Workshops"
"056297","63 ","Warehouse, Storage and Workshops"
"056298","63 ","Warehouse, Storage and Workshops"
"056299","45 ","Office"
"056300","45 ","Office"
"056306","45 ","Office"
"056307","45 ","Office"
"056327","45 ","Office"
"056328","45 ","Office"
"056332","45 ","Office"
"056333","45 ","Office"
"056338","45 ","Office"
"056341","45 ","Office"
"056342","45 ","Office"
"056343","45 ","Office"
"056353","45 ","Office"
"056354","45 ","Office"
"056355","45 ","Office"
"056356","45 ","Office"
"056357","45 ","Office"
"056359","45 ","Office"
"056362","45 ","Office"
"056363","45 ","Office"
"056364","45 ","Office"
"056365","45 ","Office"
"056367","45 ","Office"
"056372","45 ","Office"
"056373","45 ","Office"
"056374","45 ","Office"
"056375","45 ","Office"
"056376","45 ","Office"
"056380","45 ","Office"
"056382","45 ","Office"
"056384","45 ","Office"
"056387","45 ","Office"
"056389","45 ","Office"
"056390","45 ","Office"
"056391","45 ","Office"
"056394","45 ","Office"
"056398","45 ","Office"
"056400","45 ","Office"
"056402","45 ","Office"
"056430","45 ","Office"
"056431","29 ","Residential"
"056435","29 ","Residential"
"056454","13 ","Assembly and Cultural"
"056456","13 ","Assembly and Cultural"
"056457","13 ","Assembly and Cultural"
"056458","13 ","Assembly and Cultural"
"056459","13 ","Assembly and Cultural"
"056461","45 ","Office"
"056462","29 ","Residential"
"056463","13 ","Assembly and Cultural"
"056466","13 ","Assembly and Cultural"
"056473","13 ","Assembly and Cultural"
"056476","45 ","Office"
"056477","13 ","Assembly and Cultural"
"056478","13 ","Assembly and Cultural"
"056479","13 ","Assembly and Cultural"
"056481","13 ","Assembly and Cultural"
"056486","45 ","Office"
"056487","51 ","Research and Technological Development"
"056488","45 ","Office"
"056492","29 ","Residential"
"056494","29 ","Residential"
"056496","29 ","Residential"
"056497","45 ","Office"
"056500","31 ","Industrial"
"056508","13 ","Assembly and Cultural"
"056522","29 ","Residential"
"056527","29 ","Residential"
"056528","29 ","Residential"
"056560","13 ","Assembly and Cultural"
"056610","45 ","Office"
"056610","31 ","Industrial"
