Directory of Federal Real Property
Real Property and Materiel Policy Division
Treasury Board of Canada Secretariat
Government of Canada

Security Level: Not Protected
Date: January 3rd, 2023
Sort order:
Character set: ISO 8859 Latin 1
Field Delimiter: Comma
Text Qualifier: Double quote
Field Names: Included in line 16
Data: Begins on line 17
Help: DFRP-ADMIN-RBIF@tbs-sct.gc.ca

"Structure Number (TEXT data)","Property Number (TEXT data)","Structure Name","Custodian Code (TEXT data)","Custodian Name","Interest Type Code (TEXT data)","Interest Type","Street Address","Floor Area","Construction Year","Condition Type Code (TEXT data)","Condition","Fully Occupied Building","SGC Code (TEXT data)","Municipality","Province or Territory Code (TEXT data)","Province or Territory","Federal Electoral District Code (TEXT data)","Federal Electoral District","Country Code (TEXT data)","Country","City Code (TEXT data)","City","Latitude","Longitude","Security Code (TEXT data)","Security Designation","Census Classification","Record Created On","Record Last Modified On"
"015235","15235","20110 Lougheed Highway","140","Public Services and Procurement Canada","24","Lease or Licence","106 - 20110 Lougheed Highway, Maple Ridge, British Columbia, V2X 2P7","481.00","","","","No","5915075","Maple Ridge","59","British Columbia","022","Pitt Meadows--Maple Ridge","CA","Canada","","","49.220132","-122.663990","0","Not Protected","Rural","2008-10-15 2:42:04 PM","2020-03-05 12:00:00 PM"
"015247","15247","Bi-Rite Building","140","Public Services and Procurement Canada","24","Lease or Licence","7  Harris Drive, Marystown, Newfoundland and Labrador, A0E 2M0","375.00","","","","Yes","1002024","Marystown","10","Newfoundland and Labrador","002","Bonavista--Burin--Trinity","CA","Canada","","","47.175124","-55.154096","0","Not Protected","Rural","2008-10-15 2:42:04 PM","2020-01-17 5:00:00 AM"
"015280","15280","Fisheries Building","140","Public Services and Procurement Canada","24","Lease or Licence","330-342  Main Street South, Glovertown, Newfoundland and Labrador, A0G 2L0","204.00","","","","Yes","1007044","Glovertown","10","Newfoundland and Labrador","002","Bonavista--Burin--Trinity","CA","Canada","","","48.670625","-53.984339","0","Not Protected","Rural","2008-10-15 2:42:04 PM","2020-01-17 5:00:00 AM"
"015295","15295","721 Centre Street","140","Public Services and Procurement Canada","24","Lease or Licence","721 Centre Street., Espanola, Ontario, P5E 1T3","229.00","","","","No","3552026","Espanola","35","Ontario","002","Algoma--Manitoulin--Kapuskasing","CA","Canada","","","46.248000","-81.760846","0","Not Protected","Rural","2008-10-15 2:42:04 PM","2020-06-13 5:00:00 AM"
"015296","15296","Broad Street Crossing Building","140","Public Services and Procurement Canada","24","Lease or Licence","1800  11th Avenue, Regina, Saskatchewan, X9X 9X9","1172.00","","","","No","4706027","Regina","47","Saskatchewan","009","Regina--Wascana","CA","Canada","","","50.450825","-104.606942","0","Not Protected","Urban","2008-10-15 2:42:04 PM","2020-01-17 5:00:00 AM"
"015298","15298","1677  Sidney Street W","140","Public Services and Procurement Canada","24","Lease or Licence","1677  Sidney Street W, Swift Current, Saskatchewan, S9H 5H1","306.00","","","","Yes","4708004","Swift Current","47","Saskatchewan","002","Cypress Hills--Grasslands","CA","Canada","","","50.288682","-107.822278","0","Not Protected","Urban","2008-10-15 2:42:04 PM","2020-01-17 5:00:00 AM"
"015354","15354","1675 King Street","140","Public Services and Procurement Canada","24","Lease or Licence","1675  King Street, Bridgewater, Nova Scotia, B4V 1C5","376.00","","","","Yes","1206004","Bridgewater","12","Nova Scotia","009","South Shore--St. Margarets","CA","Canada","","","44.402133","-64.549794","0","Not Protected","Urban","2008-10-15 2:42:04 PM","2020-03-05 12:00:00 PM"
"015371","15371","Place du Centre","140","Public Services and Procurement Canada","24","Lease or Licence","200 Promenade du Portage","13450.00","","","","No","2481017","Gatineau","24","Quebec","030","Hull--Aylmer","CA","Canada","","","45.426800","-75.714500","0","Not Protected","Urban","2008-10-15 2:42:04 PM","2022-05-31 5:00:00 AM"
"015379","15379","Chief Mountain Border Crossing- Main Customs Building","155","Canada Border Services Agency","10","Crown Owned","Highway 6, P.O. Box 96  T0K 2M0","74.00","1974","3","Poor","Yes","4803003","Improvement District No.  4 Waterton","48","Alberta","027","Medicine Hat--Cardston--Warner","CA","Canada","","","48.998460","-113.660683","0","Not Protected","Isolated","2008-12-18 8:19:42 AM","2022-01-19 5:00:00 AM"
"015402","15402","Institute of National Scientific Research (INRS)","030","Natural Resources Canada","24","Lease or Licence","490 Couronne Street","2409.00","","0","Unknown","No","2423027","Québec","24","Quebec","059","Québec","CA","Canada","","","46.813000","-71.223890","0","Not Protected","Urban","2008-12-04 3:21:07 PM","2019-02-14 12:00:00 PM"
"015463","15463","Constitution Square - Tower III","140","Public Services and Procurement Canada","24","Lease or Licence","340 Albert Street","1955.00","","","","No","3506008","Ottawa","35","Ontario","075","Ottawa Centre","CA","Canada","","","45.418630","-75.702520","0","Not Protected","Rural","2019-04-24 5:00:00 AM","2020-01-17 5:00:00 AM"
"015484","15484","Eve Place","140","Public Services and Procurement Canada","24","Lease or Licence","219  Main Street, Bathurst, New Brunswick, E1C 1B8","125.00","","","","No","1315011","Bathurst","13","New Brunswick","001","Acadie--Bathurst","CA","Canada","","","47.620917","-65.652781","0","Not Protected","Rural","2008-10-15 2:42:04 PM","2022-05-13 12:00:00 PM"
"015485","15485","Office","162","Royal Canadian Mounted Police","24","Lease or Licence","2956 Ed Nixon Terrace","1390.00","","","","No","5917044","Langford","59","British Columbia","010","Cowichan--Malahat--Langford","CA","Canada","","","48.455740","-123.540690","0","Not Protected","Urban","2009-03-03 2:28:15 PM","2017-09-25 3:38:02 PM"
"015487","15487","DFO Service Centre","140","Public Services and Procurement Canada","24","Lease or Licence","460  Chaleur Street, Charlo, New Brunswick, E8E 2G4","128.00","","","","Yes","1314004","Charlo","13","New Brunswick","005","Madawaska--Restigouche","CA","Canada","","","48.000393","-66.324317","0","Not Protected","Rural","2008-10-15 2:42:04 PM","2022-12-16 12:00:00 PM"
"015488","15488","220  Fortin Street","140","Public Services and Procurement Canada","24","Lease or Licence","220  Fortin Street, Québec, Quebec, G1M 3S5","2482.00","","","","No","2423027","Québec","24","Quebec","059","Québec","CA","Canada","","","46.828256","-71.270365","0","Not Protected","Urban","2008-10-23 9:00:32 AM","2021-02-02 5:00:00 AM"
"015497","15497","Allied Building","140","Public Services and Procurement Canada","24","Lease or Licence","397  Stavanger Drive, St. John's, Newfoundland and Labrador, A1A 0A1","251.00","","","","No","1001519","St. John's","10","Newfoundland and Labrador","006","St. John's East","CA","Canada","","","47.613951","-52.709100","0","Not Protected","Rural","2008-10-15 2:42:04 PM","2020-01-17 5:00:00 AM"
"015498","15498","Chipman Community Office","162","Royal Canadian Mounted Police","24","Lease or Licence","33 Forest Ave","72.00","","1","Good","No","1304025","Chipman","13","New Brunswick","006","Miramichi--Grand Lake","CA","Canada","","","46.185280","-65.867360","0","Not Protected","Rural","2009-03-03 2:44:50 PM","2018-09-11 12:00:00 PM"
"015522","15522","Megasys Business Centre - Phase  II","140","Public Services and Procurement Canada","24","Lease or Licence","1111  57 Avenue Northeast, Calgary, Alberta, T2E 9B2","2710.00","","","","No","4806016","Calgary","48","Alberta","013","Calgary Skyview","CA","Canada","","","51.105717","-114.037407","0","Not Protected","Urban","2008-10-15 2:42:04 PM","2022-09-17 5:00:00 AM"
"015559","15559","Thomas Fuller Building","140","Public Services and Procurement Canada","24","Lease or Licence","14 Court House Avenue, Brockville, Ontario, K6V 4T1","415.00","","","","No","3507015","Brockville","35","Ontario","050","Leeds--Grenville--Thousand Islands and Rideau Lakes","CA","Canada","","","44.589862","-75.685056","0","Not Protected","Urban","2008-10-15 2:42:04 PM","2020-01-17 5:00:00 AM"
"015567","15567","Office","162","Royal Canadian Mounted Police","24","Lease or Licence","120-1626 Richter St","795.00","","","","No","5935010","Kelowna","59","British Columbia","014","Kelowna--Lake Country","CA","Canada","","","49.884820","-119.488600","0","Not Protected","Urban","2009-03-03 2:28:15 PM","2017-09-25 3:38:02 PM"
"015633","15633","future chancery","060","Global Affairs Canada","24","Lease or Licence","4, Korsovoy Pereulok, Moscow","7329.00","","0","Unknown","Yes","","","","","","","RU","Russian Federation","001","Moscow","","","0","Not Protected","","2009-01-15 2:04:29 PM","2018-08-23 5:00:00 AM"
"015662","15662","Gerrard Square Shopping Centre","140","Public Services and Procurement Canada","24","Lease or Licence","1000 Gerrard Street East, Toronto, Ontario, M4M 3G6","401.00","","","","No","3520005","Toronto","35","Ontario","094","Scarborough Centre","CA","Canada","","","43.669391","-79.338994","0","Not Protected","Urban","2008-10-23 3:40:09 PM","2020-01-17 5:00:00 AM"
"015664","15664","350 Ontario Street","140","Public Services and Procurement Canada","24","Lease or Licence","350 Ontario Street, St. Catharines, Ontario, L2R 5L8","685.00","","","","No","3526053","St. Catharines","35","Ontario","089","St. Catharines","CA","Canada","","","43.171861","-79.263527","0","Not Protected","Urban","2008-10-15 2:42:04 PM","2022-09-12 12:00:00 PM"
"015718","15718","3 Lower Malpeque Road","140","Public Services and Procurement Canada","24","Lease or Licence","3 Lower Malpeque Road, Charlottetown, Prince Edward Island, C1E 1R4","2950.00","","","","No","1102075","Charlottetown","11","Prince Edward Island","002","Charlottetown","CA","Canada","","","46.264983","-63.160039","0","Not Protected","Urban","2008-08-29 9:24:22 AM","2020-04-09 12:00:00 PM"
"015855","15855","The Canadian Trade Office, Hyderabad","060","Global Affairs Canada","24","Lease or Licence","ITC Kakatiya, Hyderabad","500.00","","0","Unknown","Yes","","","","","","","IN","India","006","Hyderabad","","","0","Not Protected","","2009-01-15 1:09:10 PM","2011-12-09 3:33:51 PM"
"015859","15859","81 Albert Street","140","Public Services and Procurement Canada","24","Lease or Licence","81 Albert Street, Moncton, New Brunswick, E1C 8K9","474.00","","","","No","1307022","Moncton","13","New Brunswick","007","Moncton--Riverview--Dieppe","CA","Canada","","","46.083739","-64.783491","0","Not Protected","Urban","2008-10-15 2:42:04 PM","2020-01-17 5:00:00 AM"
"015912","15912","859 Main Street","140","Public Services and Procurement Canada","24","Lease or Licence","859 Main Street, Moncton, New Brunswick, E1C 1G3","1742.00","","","","No","1307022","Moncton","13","New Brunswick","007","Moncton--Riverview--Dieppe","CA","Canada","","","46.088070","-64.780216","0","Not Protected","Urban","2008-10-15 2:42:04 PM","2021-01-27 5:00:00 AM"
"015981","15981","3001 Wayburne Drive","140","Public Services and Procurement Canada","24","Lease or Licence","3001 Wayburne Drive","1297.00","","","","No","5915025","Burnaby","59","British Columbia","003","Burnaby South","CA","Canada","","","49.256924","-122.994760","0","Not Protected","Urban","2009-03-17 3:45:33 PM","2021-01-14 5:00:01 AM"
"015986","15986","Baker Centre","140","Public Services and Procurement Canada","24","Lease or Licence","10th Floor - 10025 106th Street, Edmonton, Alberta, T5J 1S6","655.00","","","","No","4811061","Edmonton","48","Alberta","014","Edmonton Centre","CA","Canada","","","53.539566","-113.502465","0","Not Protected","Urban","2008-10-23 3:40:09 PM","2021-06-29 12:00:00 PM"
"015996","15996","Crowsnest Trail Plaza","140","Public Services and Procurement Canada","24","Lease or Licence","101 - 920  2A Avenue North","1091.00","","","","Yes","4802012","Lethbridge","48","Alberta","026","Lethbridge","CA","Canada","","","49.701115","-112.832112","0","Not Protected","Urban","2009-03-24 8:52:42 AM","2022-06-28 5:00:00 AM"
"015998","15998","427 Sabourin Street","140","Public Services and Procurement Canada","24","Lease or Licence","427 Sabourin Street","80.00","","","","No","4602037","St-Pierre-Jolys","46","Manitoba","008","Provencher","CA","Canada","","","49.442220","-96.984170","0","Not Protected","Urban","2009-03-24 8:52:42 AM","2019-04-18 5:00:00 AM"
"016022","16022","1195 Du Tremblay Rd","140","Public Services and Procurement Canada","24","Lease or Licence","1195 Du Tremblay Rd","1279.00","","","","No","2458227","Longueuil","24","Quebec","043","Longueuil--Saint-Hubert","CA","Canada","","","45.537008","-73.464494","0","Not Protected","Urban","2008-10-22 2:54:29 PM","2022-12-31 5:00:00 AM"
"016026","16026","Agriculture Agri-Food Canada Building","140","Public Services and Procurement Canada","24","Lease or Licence","361 Pictou Road","301.00","","","","Yes","1210008","Colchester, Subd. B","12","Nova Scotia","003","Cumberland--Colchester","CA","Canada","","","45.384479","-63.232665","0","Not Protected","Rural","2008-10-30 9:09:49 AM","2021-06-09 12:00:00 PM"
"016033","16033","TD Centre Building","140","Public Services and Procurement Canada","24","Lease or Licence","1791 Barrington Street, Halifax, Nova Scotia, B3J 3L1","1283.00","","","","No","1209034","Halifax","12","Nova Scotia","005","Halifax","CA","Canada","","","44.648500","-63.574544","0","Not Protected","Rural","2009-03-18 10:23:33 AM","2022-06-15 12:00:00 PM"
"016034","16034","287 Pierre-Saindon Street","140","Public Services and Procurement Canada","24","Lease or Licence","287 Pierre-Saindon Street","1279.00","","1","Good","No","2410043","Rimouski","24","Quebec","018","Rimouski-Neigette--Témiscouata--Les Basques","CA","Canada","","","48.444505","-68.524063","0","Not Protected","Rural","2008-11-03 10:13:00 AM","2022-08-19 5:00:00 AM"
"016065","16065","Roosville Border Crossing- Main Customs Building","155","Canada Border Services Agency","10","Crown Owned","P.O. 72, Hwy 93","367.00","1990","3","Poor","Yes","5901801","Tobacco Plains 2","59","British Columbia","015","Kootenay--Columbia","CA","Canada","","","49.000317","-115.055659","0","Not Protected","Rural","2008-12-18 8:19:42 AM","2022-01-19 5:00:00 AM"
"016066","16066","Flathead Border Crossing","090","Crown-Indigenous Relations and Northern Affairs Canada","10","Crown Owned","City of Grasmere, via Poleridge, Montana","35.00","2008","3","Poor","Yes","5901017","East Kootenay A","59","British Columbia","015","Kootenay--Columbia","CA","Canada","","","49.001520","-114.478370","0","Not Protected","Isolated","2008-12-18 8:19:42 AM","2019-04-25 5:00:00 AM"
"016121","16121","Kingsgate Border Crossing- Main Customs Building","155","Canada Border Services Agency","10","Crown Owned","1617, Highway 95","1148.00","2012","1","Good","Yes","5903013","Central Kootenay B","59","British Columbia","015","Kootenay--Columbia","CA","Canada","","","49.000820","-116.181050","0","Not Protected","Rural","2008-12-18 8:19:42 AM","2022-01-19 5:00:00 AM"
"016122","16122","Rykerts Border Crossing- Main Customs Building","155","Canada Border Services Agency","10","Crown Owned","PO Box 108 Hwy 21","179.00","1973","3","Poor","Yes","5903013","Central Kootenay B","59","British Columbia","015","Kootenay--Columbia","CA","Canada","","","49.001980","-116.500330","0","Not Protected","Rural","2008-12-18 8:19:42 AM","2022-01-19 5:00:00 AM"
"016125","16125","835 Montee Masson","140","Public Services and Procurement Canada","24","Lease or Licence","835 Montée Masson","551.00","","","","No","2464008","Terrebonne","24","Quebec","075","Terrebonne","CA","Canada","","","45.706457","-73.629319","0","Not Protected","Urban","2008-11-05 8:40:32 AM","2019-05-17 12:00:00 PM"
"016138","16138","1965 Island Diesel Way","140","Public Services and Procurement Canada","24","Lease or Licence","1965 Island Diesel Way","490.00","","","","No","5921007","Nanaimo","59","British Columbia","018","Nanaimo--Ladysmith","CA","Canada","","","49.186432","-123.986935","0","Not Protected","Urban","2009-03-17 3:45:33 PM","2020-01-17 5:00:00 AM"
"016167","16167","NRC-IRAP Longueuil","130","National Research Council Canada","24","Lease or Licence","5555 Rue de L'ENA, Longueuil, QC J3Y 8Y9","15.00","","","","No","2458227","Longueuil","24","Quebec","043","Longueuil--Saint-Hubert","CA","Canada","","","45.523072","-73.420178","0","Not Protected","Urban","2009-03-19 8:24:52 AM","2022-10-27 5:00:00 AM"
"016180","16180","Nelway Border Crossing- Main Customs Building","155","Canada Border Services Agency","10","Crown Owned","9999 Hwy 6","200.00","2000","1","Good","Yes","5903047","Central Kootenay G","59","British Columbia","015","Kootenay--Columbia","CA","Canada","","","49.000210","-117.299090","0","Not Protected","Rural","2008-12-18 8:19:42 AM","2022-01-19 5:00:00 AM"
"016183","16183","NRC-IRAP Calgary","130","National Research Council Canada","24","Lease or Licence","3608 33 Street NW, Calgary, AB  T2L 2A6","575.00","","","","No","4806016","Calgary","48","Alberta","009","Calgary Nose Hill","CA","Canada","","","51.085233","-114.134990","0","Not Protected","Urban","2009-03-19 8:24:52 AM","2019-12-12 5:00:00 AM"
"016189","16189","NRC-IRAP Calgary","130","National Research Council Canada","24","Lease or Licence","3553 31 Street NW, Room 113, Calgary, AB  T2L 2K7","90.00","","","","No","4806016","Calgary","48","Alberta","009","Calgary Nose Hill","CA","Canada","","","51.084322","-114.130310","0","Not Protected","Urban","2009-03-19 8:24:52 AM","2021-06-17 12:00:00 PM"
"016204","16204","NRC-IRAP Goosebay","130","National Research Council Canada","24","Lease or Licence","219 Hamilton River Road, PO Box 1720, Station B, Goosebay, NL  A0P 1E0","19.00","","","","No","1010025","Happy Valley-Goose Bay","10","Newfoundland and Labrador","004","Labrador","CA","Canada","","","53.313303","-60.380919","0","Not Protected","Rural","2020-12-12 5:00:01 AM","2020-12-12 5:00:01 AM"
"016217","16217","NRC-IRAP Laval","130","National Research Council Canada","24","Lease or Licence","531 boulevard des Prairies, Édifice 12, Laval, QC  H7V 1B7","105.00","","","","No","2465005","Laval","24","Quebec","078","Vimy","CA","Canada","","","45.540853","-73.718044","0","Not Protected","Urban","2009-03-19 8:24:52 AM","2021-06-17 12:00:00 PM"
"016223","16223","NRC-IRAP Sherbrooke","130","National Research Council Canada","24","Lease or Licence","2500 boulevard de l'Université, Room C1-4106-3, Sherbrooke, QC  J1K 2R1","20.00","","","","No","2443027","Sherbrooke","24","Quebec","073","Sherbrooke","CA","Canada","","","45.379719","-71.926922","0","Not Protected","Urban","2009-03-19 8:24:52 AM","2021-06-17 12:00:00 PM"
"016257","16257","NRC-IRAP Windsor","130","National Research Council Canada","24","Lease or Licence","119 Chatham Street, Windsor, ON N9A 5M7","22.00","2012","","","No","3537039","Windsor","35","Ontario","117","Windsor West","CA","Canada","","","42.318944","-83.043656","0","Not Protected","Urban","2009-03-19 8:24:52 AM","2019-12-19 5:00:00 AM"
"016288","16288","NRC-IRAP Toronto","130","National Research Council Canada","24","Lease or Licence","101 College Street, Office 232, Toronto, ON M5G 1L7","42.00","","","","No","3520005","Toronto","35","Ontario","095","Scarborough--Guildwood","CA","Canada","","","43.660464","-79.387692","0","Not Protected","Urban","2009-03-19 8:45:13 AM","2022-10-27 12:00:00 PM"
"016314","16314","1501 McGill Collège Avenue","140","Public Services and Procurement Canada","24","Lease or Licence","1501 McGill Collège Avenue","1165.00","","","","No","2466023","Montréal","24","Quebec","077","Ville-Marie--Le Sud-Ouest--Île-des-Soeurs","CA","Canada","","","45.502363","-73.571511","0","Not Protected","Urban","2008-11-28 9:46:11 AM","2022-05-28 5:00:00 AM"
"016321","16321","Paterson Border Crossing- Main Customs Building","155","Canada Border Services Agency","10","Crown Owned","10 Highway 22","280.00","1950","4","Critical","Yes","5905030","Kootenay Boundary B","59","British Columbia","029","South Okanagan--West Kootenay","CA","Canada","","","49.001160","-117.831580","0","Not Protected","Rural","2008-12-18 8:19:42 AM","2022-01-19 5:00:00 AM"
"016322","16322","Waneta Border Crossing- Main Customs Building","155","Canada Border Services Agency","10","Crown Owned","10290 Waneta Highway 22A","133.00","1975","2","Fair","Yes","5905026","Kootenay Boundary A","59","British Columbia","029","South Okanagan--West Kootenay","CA","Canada","","","49.000952","-117.624601","0","Not Protected","Rural","2008-12-18 8:19:42 AM","2022-01-19 5:00:00 AM"
"016325","16325","350 Frontenac Boulevard West","140","Public Services and Procurement Canada","24","Lease or Licence","350 Frontenac Boulevard West","1200.00","","","","No","2431084","Thetford Mines","24","Quebec","047","Mégantic--L'Érable","CA","Canada","","","46.099640","-71.317778","0","Not Protected","Rural","2008-12-02 8:47:17 AM","2019-05-17 12:00:00 PM"
"016327","16327","Midway Border Crossing- Main Customs Building","155","Canada Border Services Agency","10","Crown Owned","Highway 3 - P.O. Box 97","37.00","1951","3","Poor","Yes","5905037","Midway","59","British Columbia","029","South Okanagan--West Kootenay","CA","Canada","","","49.000530","-118.761180","0","Not Protected","Rural","2008-12-18 8:19:42 AM","2022-01-19 5:00:00 AM"
"016332","16332","Carson Border Crossing-Main Cusotms Building","155","Canada Border Services Agency","10","Crown Owned","4900 Highway 41","230.00","1988","3","Poor","Yes","5905052","Kootenay Boundary D","59","British Columbia","029","South Okanagan--West Kootenay","CA","Canada","","","49.000147","-118.503455","0","Not Protected","Rural","2008-12-18 8:19:42 AM","2022-01-19 5:00:00 AM"
"016341","16341","Osoyoos Border Crossing- Main Customs Building","155","Canada Border Services Agency","10","Crown Owned","202 97th Street","1197.00","2003","1","Good","Yes","5907022","Okanagan-Similkameen A","59","British Columbia","029","South Okanagan--West Kootenay","CA","Canada","","","49.001081","-119.462377","0","Not Protected","Rural","2008-12-18 8:19:42 AM","2022-01-19 5:00:00 AM"
"016348","16348","Tuxedo Business Park Winnipeg","530","Farm Credit Canada","24","Lease or Licence","191 Commerce Drive","842.00","","0","Unknown","No","4611040","Winnipeg","46","Manitoba","014","Winnipeg South Centre","CA","Canada","","","49.830617","-97.216580","0","Not Protected","Urban","2012-04-24 12:55:21 PM","2020-11-18 12:00:00 PM"
"016350","16350","Chopaka Border Crossing-Main Customs Building","155","Canada Border Services Agency","10","Crown Owned","1 Nighthawk Road","198.00","1954","3","Poor","Yes","5907026","Okanagan-Similkameen B","59","British Columbia","005","Central Okanagan--Similkameen--Nicola","CA","Canada","","","49.000700","-119.670290","0","Not Protected","Rural","2008-12-18 8:19:42 AM","2022-01-19 5:00:00 AM"
"016365","16365","FCC Shoal Lake","530","Farm Credit Canada","24","Lease or Licence","426 Station Road","11.00","","0","Unknown","No","4615063","Yellowhead","46","Manitoba","004","Dauphin--Swan River--Neepawa","CA","Canada","","","50.437676","-100.590752","0","Not Protected","Rural","2012-04-24 12:55:21 PM","2020-11-18 12:00:00 PM"
"016367","16367","1925 McCallum Road","140","Public Services and Procurement Canada","24","Lease or Licence","1925 McCallum Road","1860.00","","","","No","5909052","Abbotsford","59","British Columbia","001","Abbotsford","CA","Canada","","","49.037156","-122.293607","0","Not Protected","Rural","2009-03-20 8:28:35 AM","2019-12-12 1:38:30 PM"
"016375","16375","280C Third Avenue North","140","Public Services and Procurement Canada","24","Lease or Licence","280C Third Avenue North","593.00","","","","Yes","5941009","Williams Lake","59","British Columbia","004","Cariboo--Prince George","CA","Canada","","","52.132990","-122.142837","0","Not Protected","Rural","2009-03-17 3:45:33 PM","2020-01-17 5:00:00 AM"
"016379","16379","GC Building - Penticton","140","Public Services and Procurement Canada","10","Crown Owned","277 Winnipeg Street, Penticton, British Columbia, V2A 1N6","5443.00","1961","4","Critical","Yes","5907041","Penticton","59","British Columbia","029","South Okanagan--West Kootenay","CA","Canada","","","49.498572","-119.596048","0","Not Protected","Urban","2008-10-15 2:42:04 PM","2021-06-29 5:00:00 AM"
"016399","16399","Turnor Lake Community Office","162","Royal Canadian Mounted Police","24","Lease or Licence","Lot 3, Block 7","44.00","2002","2","Fair","No","4718819","Turnor Lake 193B","47","Saskatchewan","003","Desnethé--Missinippi--Churchill River","CA","Canada","","","56.464190","-108.692220","0","Not Protected","Rural","2009-03-03 2:28:15 PM","2022-11-29 5:00:01 AM"
"016408","16408","Office","162","Royal Canadian Mounted Police","24","Lease or Licence","575 Fitzwilliam St","1754.00","","","","No","5921007","Nanaimo","59","British Columbia","018","Nanaimo--Ladysmith","CA","Canada","","","49.164990","-123.943480","0","Not Protected","Urban","2009-03-03 2:28:15 PM","2017-09-25 3:38:02 PM"
"016432","16432","256 Wallace Street","140","Public Services and Procurement Canada","24","Lease or Licence","200 - 256 Wallace Street","422.00","","","","No","5921007","Nanaimo","59","British Columbia","018","Nanaimo--Ladysmith","CA","Canada","","","49.166310","-123.940217","0","Not Protected","Urban","2009-03-23 12:56:54 PM","2019-12-12 1:38:30 PM"
"016436","16436","491 Main Street","140","Public Services and Procurement Canada","24","Lease or Licence","491 Main Street","402.00","","","","Yes","1101045","Three Rivers","11","Prince Edward Island","001","Cardigan","CA","Canada","","","46.173644","-62.653497","0","Not Protected","Rural","2009-02-06 7:31:16 AM","2021-03-31 7:30:42 PM"
"016438","16438","Office","162","Royal Canadian Mounted Police","24","Lease or Licence","Postal Box 480","190.00","","2","Fair","Yes","4718090","Division No. 18, Unorganized","47","Saskatchewan","003","Desnethé--Missinippi--Churchill River","CA","Canada","","","55.093120","-105.318500","0","Not Protected","Isolated","2009-03-03 2:39:47 PM","2018-09-11 12:00:00 PM"
"016468","16468","DFO Service Centre","140","Public Services and Procurement Canada","24","Lease or Licence","1715 Route 774","202.00","","","","Yes","1302004","Campobello Island","13","New Brunswick","008","New Brunswick Southwest","CA","Canada","","","44.909678","-66.918798","0","Not Protected","Rural","2009-02-12 8:20:46 AM","2021-06-09 12:00:00 PM"
"016472","16472","Roper Ridge Business Park","140","Public Services and Procurement Canada","24","Lease or Licence","5605 70 Street NW","3606.00","","","","No","4811061","Edmonton","48","Alberta","019","Edmonton Strathcona","CA","Canada","","","53.491291","-113.432480","0","Not Protected","Urban","2019-02-15 5:00:00 AM","2021-06-29 12:00:00 PM"
"016473","16473","619 McKay Street","140","Public Services and Procurement Canada","24","Lease or Licence","619 McKay Street, Kingston, Ontario, K7M 5V8","694.00","","","","No","3510010","Kingston","35","Ontario","044","Kingston and the Islands","CA","Canada","","","44.242460","-76.577470","0","Not Protected","Rural","2009-03-17 8:17:28 AM","2021-06-17 12:00:00 PM"
"016478","16478","Samson Mall","140","Public Services and Procurement Canada","24","Lease or Licence","101 Lake Louise Drive","133.00","","","","No","4815032","Improvement District No.  9 Banff","48","Alberta","001","Banff--Airdrie","CA","Canada","","","51.425498","-116.179159","0","Not Protected","Isolated","2009-03-25 8:21:37 AM","2019-05-17 12:00:00 PM"
"016493","16493","Office","162","Royal Canadian Mounted Police","10","Crown Owned","484 Dufferin St","470.00","1970","1","Good","Yes","2445008","Stanstead","24","Quebec","023","Compton--Stanstead","CA","Canada","","","45.014060","-72.094440","0","Not Protected","Rural","2009-05-25 1:17:21 PM","2017-09-25 3:38:02 PM"
"016544","16544","Abbotsford-Huntingdon Border Crossing- Main Customs Building","155","Canada Border Services Agency","10","Crown Owned","2 Sumas Way, Highway 11","1600.00","1992","1","Good","Yes","5909052","Abbotsford","59","British Columbia","001","Abbotsford","CA","Canada","","","49.002830","-122.265290","0","Not Protected","Rural","2008-12-18 8:19:42 AM","2022-01-19 5:00:00 AM"
"016639","16639","Douglas Border Crossing- Main Customs Building","155","Canada Border Services Agency","10","Crown Owned","220 Hwy 99","3090.00","2008","1","Good","Yes","5915801","Semiahmoo","59","British Columbia","030","South Surrey--White Rock","CA","Canada","","","49.006198","-122.759581","0","Not Protected","Rural","2008-12-30 6:42:42 AM","2022-01-19 5:00:00 AM"
"016642","16642","Pacific Highway Border Crossing- Main Customs Building (Building A)","155","Canada Border Services Agency","10","Crown Owned","28, 176th Street","2937.00","1986","4","Critical","Yes","5915004","Surrey","59","British Columbia","030","South Surrey--White Rock","CA","Canada","","","49.003034","-122.733881","0","Not Protected","Urban","2008-12-18 8:19:42 AM","2022-11-22 5:00:01 AM"
"016649","16649","Surrey Taxation Data Centre","140","Public Services and Procurement Canada","10","Crown Owned","9755 King George Boulevard","20310.00","1978","3","Poor","Yes","5915004","Surrey","59","British Columbia","032","Surrey Centre","CA","Canada","","","49.179561","-122.846197","0","Not Protected","Urban","2008-10-15 2:42:04 PM","2022-11-24 5:00:00 AM"
"016669","16669","Boundary Bay Border Crossing-Main Customs Building","155","Canada Border Services Agency","10","Crown Owned","4 - 56th Street","288.00","1987","3","Poor","Yes","5915011","Delta","59","British Columbia","011","Delta","CA","Canada","","","49.002303","-123.068012","0","Not Protected","Rural","2008-12-18 8:19:42 AM","2022-01-19 5:00:00 AM"
