Directory of Federal Real Property
Real Property and Materiel Policy Division
Treasury Board of Canada Secretariat
Government of Canada

Security Level: Not Protected
Date: January 3rd, 2023
Sort order:
Character set: ISO 8859 Latin 1
Field Delimiter: Comma
Text Qualifier: Double quote
Field Names: Included in line 16
Data: Begins on line 17
Help: DFRP-ADMIN-RBIF@tbs-sct.gc.ca

"Structure Number (TEXT data)","Tenant Code (TEXT data)","Tenant Name","Floor Area"
"010518","BSF","Canada Border Services Agency",363.00
"010518","JUS","Department of Justice",265.00
"010518","IMC","Immigration, Refugees and Citizenship Canada",750.00
"010519","NAR","Canada Revenue Agency",4792.00
"010519","GSS","Shared Services Canada",41.00
"010519","995","Vacant",22.00
"010525","DUS","Innovation, Science and Economic Development Canada",268.00
"010535","995","Vacant",46.00
"010535","NAR","Canada Revenue Agency",6316.00
"010573","SHC","Health Canada",2626.00
"010577","995","Vacant",34860.00
"010579","CSD","Employment and Social Development Canada",430.00
"010580","CSD","Employment and Social Development Canada",1084.00
"010580","995","Vacant",1716.00
"010582","DND","National Defence",334.00
"010584","BSF","Canada Border Services Agency",609.00
"010584","IMC","Immigration, Refugees and Citizenship Canada",1313.00
"010584","GSS","Shared Services Canada",30.00
"010586","ICA","Canadian Food Inspection Agency",172.00
"010589","PSP","Public Safety Canada",408.00
"010589","BSF","Canada Border Services Agency",4495.00
"010612","ICA","Canadian Food Inspection Agency",588.00
"010636","AGR","Agriculture and Agri-Food Canada",448.00
"010643","995","Vacant",1489.00
"010643","CSD","Employment and Social Development Canada",3938.00
"010643","CPO","Canada Post",2035.00
"010648","DUS","Innovation, Science and Economic Development Canada",403.00
"010695","CAP","Parks Canada Agency",224.00
"010729","995","Vacant",33.00
"010729","DOE","Environment and Climate Change Canada",208.00
"010729","NAR","Canada Revenue Agency",4383.00
"010816","MOT","Transport Canada",1269.00
"010816","DFO","Fisheries and Oceans Canada",1373.00
"010816","CPO","Canada Post",1862.00
"010816","995","Vacant",601.00
"010816","990","Third Party",1981.00
"010888","995","Vacant",3529.00
"010889","995","Vacant",1174.00
"010889","CEO","Office of the Chief Electoral Officer",429.00
"010889","CSD","Employment and Social Development Canada",6654.00
"010889","IAN","Crown-Indigenous Relations and Northern Affairs Canada",151.00
"010891","CSD","Employment and Social Development Canada",328.00
"010899","DUS","Innovation, Science and Economic Development Canada",1089.00
"010899","CGC","Canadian Grain Commission",12243.00
"010899","BSF","Canada Border Services Agency",1124.00
"010899","995","Vacant",3437.00
"010899","RCM","Royal Canadian Mounted Police",1808.00
"011031","STC","Statistics Canada",1476.00
"011031","995","Vacant",151.00
"011034","995","Vacant",924.00
"011034","CSD","Employment and Social Development Canada",584.00
"011055","CSD","Employment and Social Development Canada",155.00
"011099","995","Vacant",53.00
"011099","OCC","Canadian Centre for Occupational Health and Safety",2390.00
"011100","ICA","Canadian Food Inspection Agency",151.00
"011103","995","Vacant",1843.00
"011116","PCO","Privy Council Office",918.00
"011156","ICA","Canadian Food Inspection Agency",811.00
"011181","995","Vacant",920.00
"011181","CSD","Employment and Social Development Canada",285.00
"011196","PEN","Correctional Service of Canada",454.00
"011214","ICA","Canadian Food Inspection Agency",19250.00
"011214","995","Vacant",762.00
"011214","990","Third Party",466.00
"011405","DND","National Defence",914.00
"011405","DVA","Veterans Affairs Canada",1526.00
"011452","IAN","Crown-Indigenous Relations and Northern Affairs Canada",104.00
"011452","CSD","Employment and Social Development Canada",267.00
"011452","CPO","Canada Post",833.00
"011452","990","Third Party",92.00
"011452","995","Vacant",347.00
"011641","995","Vacant",1551.00
"011641","CSD","Employment and Social Development Canada",5366.00
"011641","DUS","Innovation, Science and Economic Development Canada",1329.00
"011641","PEN","Correctional Service of Canada",476.00
"011655","GSS","Shared Services Canada",352.00
"011655","NAR","Canada Revenue Agency",33113.00
"011655","995","Vacant",10.00
"011655","990","Third Party",1050.00
"011661","RSN","Natural Resources Canada",30.00
"011703","FJA","Office of the Commissioner for Federal Judicial Affairs",549.00
"011718","IAN","Crown-Indigenous Relations and Northern Affairs Canada",191.00
"011718","995","Vacant",1151.00
"011718","DUS","Innovation, Science and Economic Development Canada",305.00
"011718","CSD","Employment and Social Development Canada",945.00
"011728","HOC","House of Commons (Employees)",13957.00
"011741","CSD","Employment and Social Development Canada",292.00
"011785","DND","National Defence",20598.00
"011785","GSS","Shared Services Canada",87.00
"011821","ICA","Canadian Food Inspection Agency",87.00
"011821","DFO","Fisheries and Oceans Canada",519.00
"011832","995","Vacant",1424.00
"011833","DUS","Innovation, Science and Economic Development Canada",645.00
"011840","CSD","Employment and Social Development Canada",4890.00
"011949","995","Vacant",3102.00
"011949","JUS","Department of Justice",380.00
"011949","IAN","Crown-Indigenous Relations and Northern Affairs Canada",103.00
"011949","RCM","Royal Canadian Mounted Police",1250.00
"011950","MOT","Transport Canada",327.00
"011950","995","Vacant",343.00
"011950","BSF","Canada Border Services Agency",613.00
"011950","CAP","Parks Canada Agency",343.00
"011950","DUS","Innovation, Science and Economic Development Canada",445.00
"011951","995","Vacant",428.00
"011951","NAR","Canada Revenue Agency",2460.00
"011951","GSS","Shared Services Canada",20.00
"011951","DVA","Veterans Affairs Canada",284.00
"011951","PEN","Correctional Service of Canada",256.00
"011966","995","Vacant",7002.00
"011968","RCM","Royal Canadian Mounted Police",808.00
"011975","DFO","Fisheries and Oceans Canada",351.00
"011997","995","Vacant",9.00
"011997","CAP","Parks Canada Agency",1009.00
"011997","GSS","Shared Services Canada",12.00
"012085","ICA","Canadian Food Inspection Agency",95.00
"012085","BSF","Canada Border Services Agency",339.00
"012085","995","Vacant",460.00
"012085","CSD","Employment and Social Development Canada",217.00
"012085","CPO","Canada Post",557.00
"012146","DUS","Innovation, Science and Economic Development Canada",139.00
"012146","IAN","Crown-Indigenous Relations and Northern Affairs Canada",287.00
"012165","IAN","Crown-Indigenous Relations and Northern Affairs Canada",504.00
"012165","995","Vacant",312.00
"012206","CSD","Employment and Social Development Canada",212.00
"012206","ICA","Canadian Food Inspection Agency",213.00
"012239","CSD","Employment and Social Development Canada",720.00
"012240","CSD","Employment and Social Development Canada",693.00
"012241","DFO","Fisheries and Oceans Canada",606.00
"012242","DFO","Fisheries and Oceans Canada",649.00
"012248","DFO","Fisheries and Oceans Canada",492.00
"012294","ICA","Canadian Food Inspection Agency",746.00
"012294","PEN","Correctional Service of Canada",1844.00
"012371","CSD","Employment and Social Development Canada",757.00
"012377","CSD","Employment and Social Development Canada",710.00
"012389","990","Third Party",1347.00
"012389","RCM","Royal Canadian Mounted Police",58826.00
"012389","GSS","Shared Services Canada",330.00
"012455","DVA","Veterans Affairs Canada",364.00
"012455","NAR","Canada Revenue Agency",314.00
"012455","PEN","Correctional Service of Canada",264.00
"012455","995","Vacant",3371.00
"012498","JUS","Department of Justice",1533.00
"012501","DOE","Environment and Climate Change Canada",261.00
"012547","JUS","Department of Justice",47.00
"012574","PEN","Correctional Service of Canada",1505.00
"012624","WCO","Western Economic Diversification Canada",1097.00
"012624","MOT","Transport Canada",5976.00
"012624","995","Vacant",412.00
"012626","995","Vacant",610.00
"012626","BSF","Canada Border Services Agency",4743.00
"012626","AGR","Agriculture and Agri-Food Canada",77.00
"012626","ICA","Canadian Food Inspection Agency",1956.00
"012626","IMC","Immigration, Refugees and Citizenship Canada",1960.00
"012626","GSS","Shared Services Canada",51.00
"012626","PEN","Correctional Service of Canada",571.00
"012633","SHC","Health Canada",3364.00
"012633","AHS","Public Health Agency of Canada",590.00
"012633","CES","Canada School of Public Service",758.00
"012633","995","Vacant",659.00
"012633","990","Third Party",69.00
"012633","DND","National Defence",795.00
"012633","DIS","Indigenous Services Canada",6554.00
"012648","COL","Office of the Commissioner of Official Languages",132.00
"012648","990","Third Party",81.00
"012648","995","Vacant",3266.00
"012648","CGC","Canadian Grain Commission",10149.00
"012648","AGR","Agriculture and Agri-Food Canada",3081.00
"012648","HRC","Canadian Human Rights Commission",104.00
"012648","EXT","Global Affairs Canada",420.00
"012672","CAP","Parks Canada Agency",84.00
"012690","995","Vacant",2214.00
"012690","GSS","Shared Services Canada",315.00
"012690","SHC","Health Canada",11561.00
"012690","PSP","Public Safety Canada",18343.00
"012702","GSS","Shared Services Canada",77.00
"012702","NAR","Canada Revenue Agency",27040.00
"012702","995","Vacant",820.00
"012729","CGC","Canadian Grain Commission",257.00
"012852","CSD","Employment and Social Development Canada",350.00
"012855","CGC","Canadian Grain Commission",317.00
"012884","SHC","Health Canada",11047.00
"013013","SHC","Health Canada",1665.00
"013013","GSS","Shared Services Canada",22.00
"013072","EXT","Global Affairs Canada",227.00
"013072","RCM","Royal Canadian Mounted Police",226.00
"013091","DND","National Defence",700.00
"013114","DND","National Defence",494.00
"013121","995","Vacant",25.00
"013121","ICA","Canadian Food Inspection Agency",1672.00
"013257","CSD","Employment and Social Development Canada",409.00
"013275","DFO","Fisheries and Oceans Canada",1294.00
"013377","PEN","Correctional Service of Canada",483.00
"013420","DFO","Fisheries and Oceans Canada",935.00
"013422","CSD","Employment and Social Development Canada",226.00
"013425","ICA","Canadian Food Inspection Agency",290.00
"013428","CSD","Employment and Social Development Canada",2904.00
"013429","CSD","Employment and Social Development Canada",386.00
"013502","ICA","Canadian Food Inspection Agency",450.00
"013504","ICA","Canadian Food Inspection Agency",345.00
"013593","CSD","Employment and Social Development Canada",268.00
"013593","995","Vacant",29.00
"013606","JUS","Department of Justice",550.00
"013608","CSD","Employment and Social Development Canada",132.00
"013610","CSD","Employment and Social Development Canada",245.00
"013612","ICA","Canadian Food Inspection Agency",308.00
"013613","CSD","Employment and Social Development Canada",128.00
"013686","995","Vacant",127.00
"013686","NAR","Canada Revenue Agency",5201.00
"013689","HER","Canadian Heritage",388.00
"013689","PEN","Correctional Service of Canada",678.00
"013689","RCM","Royal Canadian Mounted Police",144.00
"013689","PSP","Public Safety Canada",605.00
"013689","RTC","Canadian Radio-television and Telecommunications Commission",137.00
"013689","995","Vacant",1694.00
"013689","COL","Office of the Commissioner of Official Languages",36.00
"013767","ICA","Canadian Food Inspection Agency",258.00
"013768","HER","Canadian Heritage",841.00
"013768","EXT","Global Affairs Canada",631.00
"013768","SHC","Health Canada",2878.00
"013768","CAJ","Courts Administration Service",10442.00
"013768","AHS","Public Health Agency of Canada",1248.00
"013850","DND","National Defence",653.00
"013956","CSD","Employment and Social Development Canada",432.00
"014024","DFO","Fisheries and Oceans Canada",397.00
"014076","CSD","Employment and Social Development Canada",268.00
"014078","ICA","Canadian Food Inspection Agency",220.00
"014080","ICA","Canadian Food Inspection Agency",924.00
"014080","CSD","Employment and Social Development Canada",634.00
"014177","CSD","Employment and Social Development Canada",800.00
"014177","DIS","Indigenous Services Canada",461.00
"014177","CSN","Canadian Nuclear Safety Commission",488.00
"014177","CAP","Parks Canada Agency",326.00
"014177","995","Vacant",1838.00
"014177","IMC","Immigration, Refugees and Citizenship Canada",1010.00
"014177","MOT","Transport Canada",318.00
"014177","DVA","Veterans Affairs Canada",324.00
"014177","SHC","Health Canada",296.00
"014177","NPB","National Parole Board",1226.00
"014177","WCO","Western Economic Diversification Canada",822.00
"014225","PEN","Correctional Service of Canada",7248.00
"014321","DFO","Fisheries and Oceans Canada",180.00
"014356","995","Vacant",299.00
"014437","ICA","Canadian Food Inspection Agency",308.00
"014444","CSD","Employment and Social Development Canada",1016.00
"014445","DOE","Environment and Climate Change Canada",1215.00
"014446","BSF","Canada Border Services Agency",121.00
"014447","JUS","Department of Justice",302.00
"014449","ICA","Canadian Food Inspection Agency",603.00
"014458","DFO","Fisheries and Oceans Canada",3067.00
"014487","ICA","Canadian Food Inspection Agency",198.00
"014488","CSD","Employment and Social Development Canada",323.00
"014711","HOC","House of Commons (Employees)",25883.00
"014739","DFO","Fisheries and Oceans Canada",250.00
"014785","GSS","Shared Services Canada",20.00
"014785","NAR","Canada Revenue Agency",3370.00
"014794","995","Vacant",1371.00
"014928","CSD","Employment and Social Development Canada",243.00
"014934","GSS","Shared Services Canada",905.00
"014934","RSN","Natural Resources Canada",4438.00
"014936","SHC","Health Canada",1888.00
"014936","995","Vacant",151.00
"014936","AHS","Public Health Agency of Canada",6616.00
"014966","995","Vacant",95.00
"014966","CSD","Employment and Social Development Canada",289.00
"015006","995","Vacant",32.00
"015006","PEN","Correctional Service of Canada",286.00
"015036","BSF","Canada Border Services Agency",1320.00
"015148","PSP","Public Safety Canada",436.00
"015155","BSF","Canada Border Services Agency",251.00
"015200","BSF","Canada Border Services Agency",129.00
"015208","CSD","Employment and Social Development Canada",10057.00
"015226","CSD","Employment and Social Development Canada",3914.00
"015226","DIS","Indigenous Services Canada",508.00
"015226","CSN","Canadian Nuclear Safety Commission",348.00
"015226","DOE","Environment and Climate Change Canada",1197.00
"015226","DUS","Innovation, Science and Economic Development Canada",1318.00
"015226","DND","National Defence",83.00
"015226","BSF","Canada Border Services Agency",3035.00
"015226","CAP","Parks Canada Agency",2326.00
"015226","CES","Canada School of Public Service",315.00
"015226","CEO","Office of the Chief Electoral Officer",231.00
"015226","AGR","Agriculture and Agri-Food Canada",296.00
"015226","995","Vacant",2334.00
"015226","990","Third Party",111.00
"015226","PSP","Public Safety Canada",1663.00
"015226","RCM","Royal Canadian Mounted Police",174.00
"015226","SHC","Health Canada",667.00
"015226","RTC","Canadian Radio-television and Telecommunications Commission",79.00
"015226","PCO","Privy Council Office",417.00
"015226","WCO","Western Economic Diversification Canada",741.00
"015226","TSB","Transportation Safety Board of Canada",53.00
"015226","GSS","Shared Services Canada",465.00
"015226","DVA","Veterans Affairs Canada",866.00
"015226","EXT","Global Affairs Canada",384.00
"015226","NAR","Canada Revenue Agency",17512.00
"015226","IMC","Immigration, Refugees and Citizenship Canada",2455.00
"015229","CSD","Employment and Social Development Canada",403.00
"015234","PEN","Correctional Service of Canada",204.00
"015235","PEN","Correctional Service of Canada",481.00
"015247","DFO","Fisheries and Oceans Canada",375.00
"015280","DFO","Fisheries and Oceans Canada",204.00
"015295","CSD","Employment and Social Development Canada",216.00
"015295","995","Vacant",13.00
"015296","DFO","Fisheries and Oceans Canada",219.00
"015296","ICA","Canadian Food Inspection Agency",953.00
"015298","ICA","Canadian Food Inspection Agency",306.00
"015354","ICA","Canadian Food Inspection Agency",376.00
"015371","IMC","Immigration, Refugees and Citizenship Canada",1130.00
"015371","EXT","Global Affairs Canada",4570.00
"015371","GSS","Shared Services Canada",1429.00
"015371","CSD","Employment and Social Development Canada",5362.00
"015371","995","Vacant",250.00
"015484","995","Vacant",125.00
"015487","DFO","Fisheries and Oceans Canada",128.00
"015488","995","Vacant",47.00
"015497","RCM","Royal Canadian Mounted Police",251.00
"015522","ICA","Canadian Food Inspection Agency",2710.00
"015559","CSD","Employment and Social Development Canada",415.00
"015662","CSD","Employment and Social Development Canada",401.00
"015664","ICA","Canadian Food Inspection Agency",685.00
"015718","GSS","Shared Services Canada",1025.00
"015718","DVA","Veterans Affairs Canada",1058.00
"015718","RCM","Royal Canadian Mounted Police",867.00
"015859","BSF","Canada Border Services Agency",474.00
"015912","PEN","Correctional Service of Canada",1742.00
"015981","ICA","Canadian Food Inspection Agency",1297.00
"015986","HRC","Canadian Human Rights Commission",148.00
"015986","PSP","Public Safety Canada",507.00
"015996","CSD","Employment and Social Development Canada",1091.00
"015998","CSD","Employment and Social Development Canada",80.00
"016022","CSD","Employment and Social Development Canada",1146.00
"016022","995","Vacant",133.00
"016026","AGR","Agriculture and Agri-Food Canada",301.00
"016033","AGR","Agriculture and Agri-Food Canada",244.00
"016033","PCO","Privy Council Office",812.00
"016033","EXT","Global Affairs Canada",227.00
"016034","995","Vacant",133.00
"016034","CSD","Employment and Social Development Canada",1146.00
"016125","CSD","Employment and Social Development Canada",551.00
"016138","DFO","Fisheries and Oceans Canada",490.00
"016314","CAJ","Courts Administration Service",1165.00
"016325","CSD","Employment and Social Development Canada",1200.00
"016367","NPB","National Parole Board",1860.00
"016375","DFO","Fisheries and Oceans Canada",593.00
"016379","DUS","Innovation, Science and Economic Development Canada",286.00
"016379","995","Vacant",229.00
"016379","GSS","Shared Services Canada",27.00
"016379","NAR","Canada Revenue Agency",4901.00
"016432","PEN","Correctional Service of Canada",422.00
"016436","CSD","Employment and Social Development Canada",402.00
"016468","DFO","Fisheries and Oceans Canada",202.00
"016472","CSD","Employment and Social Development Canada",3440.00
"016472","995","Vacant",166.00
"016473","PEN","Correctional Service of Canada",694.00
"016478","CAP","Parks Canada Agency",133.00
"016649","995","Vacant",493.00
"016649","NAR","Canada Revenue Agency",19817.00
"016744","CSD","Employment and Social Development Canada",307.00
"016746","BSF","Canada Border Services Agency",68.00
"016751","DOE","Environment and Climate Change Canada",1745.00
"016751","JUS","Department of Justice",826.00
"016751","IAN","Crown-Indigenous Relations and Northern Affairs Canada",561.00
"016765","IAN","Crown-Indigenous Relations and Northern Affairs Canada",217.00
"016765","GSS","Shared Services Canada",11.00
"016765","ICA","Canadian Food Inspection Agency",1688.00
"016765","SHC","Health Canada",453.00
"016765","DOE","Environment and Climate Change Canada",181.00
"016765","CSW","Department for Women and Gender Equality",137.00
"016765","AHS","Public Health Agency of Canada",99.00
"016766","CSD","Employment and Social Development Canada",288.00
"016776","DFO","Fisheries and Oceans Canada",392.00
"016880","995","Vacant",160.00
"016880","NAR","Canada Revenue Agency",4049.00
"016883","DFO","Fisheries and Oceans Canada",899.00
"016895","995","Vacant",12.00
"016895","NAR","Canada Revenue Agency",3493.00
"016902","IAN","Crown-Indigenous Relations and Northern Affairs Canada",805.00
"016902","PEN","Correctional Service of Canada",4049.00
"016904","SHC","Health Canada",7368.00
"016904","995","Vacant",18.00
"016919","995","Vacant",942.00
"016919","DND","National Defence",1182.00
"016919","JUS","Department of Justice",1591.00
"016925","JUS","Department of Justice",263.00
"016931","GSS","Shared Services Canada",30.00
"016931","DOE","Environment and Climate Change Canada",504.00
"016931","BSF","Canada Border Services Agency",192.00
"016953","995","Vacant",404.00
"016953","DUS","Innovation, Science and Economic Development Canada",736.00
"016956","CSD","Employment and Social Development Canada",3845.00
"016956","995","Vacant",70.00
"016975","995","Vacant",4369.00
"017062","CAP","Parks Canada Agency",2051.00
"017230","CSD","Employment and Social Development Canada",167.00
"017246","995","Vacant",61.00
"017246","GSS","Shared Services Canada",1773.00
"017246","MOT","Transport Canada",454.00
"017246","INF","Infrastructure Canada",7238.00
"017246","IMC","Immigration, Refugees and Citizenship Canada",4420.00
"017279","CSD","Employment and Social Development Canada",309.00
"017293","CSD","Employment and Social Development Canada",2186.00
"017293","995","Vacant",3322.00
"017342","995","Vacant",827.00
"017342","990","Third Party",738.00
"017342","CES","Canada School of Public Service",109.00
"017342","CSD","Employment and Social Development Canada",6224.00
"017342","DUS","Innovation, Science and Economic Development Canada",459.00
"017342","NAR","Canada Revenue Agency",526.00
"017342","GSS","Shared Services Canada",214.00
"017342","PEN","Correctional Service of Canada",780.00
"017342","SHC","Health Canada",416.00
"017343","NAR","Canada Revenue Agency",6177.00
"017343","995","Vacant",117.00
"017354","PEN","Correctional Service of Canada",1432.00
"017429","CSD","Employment and Social Development Canada",408.00
"017453","CSD","Employment and Social Development Canada",338.00
"017516","FRD","Economic Development Agency of Canada for the Regions of Quebec",206.00
"017527","CSD","Employment and Social Development Canada",3154.00
"017540","MOT","Transport Canada",260.00
"017548","BSF","Canada Border Services Agency",819.00
"017550","AHS","Public Health Agency of Canada",1152.00
"017550","995","Vacant",13.00
"017550","HER","Canadian Heritage",814.00
"017550","NFB","National Film Board",852.00
"017550","SHC","Health Canada",207.00
"017552","CSD","Employment and Social Development Canada",353.00
"017555","995","Vacant",570.00
"017566","995","Vacant",891.00
"017566","BSF","Canada Border Services Agency",233.00
"017566","CSD","Employment and Social Development Canada",2355.00
"017566","DOE","Environment and Climate Change Canada",263.00
"017566","MOT","Transport Canada",332.00
"017720","CSD","Employment and Social Development Canada",3541.00
"017782","CSD","Employment and Social Development Canada",352.00
"017789","DFO","Fisheries and Oceans Canada",187.00
"017819","DND","National Defence",597.00
"017819","DVA","Veterans Affairs Canada",344.00
"017843","CSD","Employment and Social Development Canada",3194.00
"017855","CSD","Employment and Social Development Canada",1152.00
"017863","CAP","Parks Canada Agency",52.00
"017909","CSD","Employment and Social Development Canada",384.00
"017920","PEN","Correctional Service of Canada",2446.00
"017925","FRD","Economic Development Agency of Canada for the Regions of Quebec",276.00
"017963","STC","Statistics Canada",7821.00
"017986","CSD","Employment and Social Development Canada",1007.00
"018006","CSD","Employment and Social Development Canada",938.00
"018046","DUS","Innovation, Science and Economic Development Canada",314.00
"018046","995","Vacant",632.00
"018048","CSD","Employment and Social Development Canada",399.00
"018048","DVA","Veterans Affairs Canada",62.00
"018053","DFO","Fisheries and Oceans Canada",625.00
"018095","MOT","Transport Canada",1936.00
"018124","DFO","Fisheries and Oceans Canada",410.00
"018293","PCO","Privy Council Office",415.00
"018453","CSD","Employment and Social Development Canada",272.00
"018542","CSD","Employment and Social Development Canada",3082.00
"018546","995","Vacant",21.00
"018546","BSF","Canada Border Services Agency",623.00
"018546","DVA","Veterans Affairs Canada",490.00
"018601","995","Vacant",1001.00
"018601","CSD","Employment and Social Development Canada",2026.00
"018638","CSD","Employment and Social Development Canada",1379.00
"018638","995","Vacant",216.00
"018638","DVA","Veterans Affairs Canada",327.00
"018638","GSS","Shared Services Canada",26.00
"018638","NAR","Canada Revenue Agency",1369.00
"018638","SHC","Health Canada",102.00
"018681","995","Vacant",1362.00
"018681","990","Third Party",1812.00
"018738","990","Third Party",554.00
"018738","CAP","Parks Canada Agency",870.00
"018738","GSS","Shared Services Canada",19.00
"019254","990","Third Party",587.00
"019254","995","Vacant",1996.00
"019295","PCO","Privy Council Office",456.00
"019297","ICA","Canadian Food Inspection Agency",232.00
"019298","CSD","Employment and Social Development Canada",792.00
"019301","ICA","Canadian Food Inspection Agency",139.00
"019305","CSD","Employment and Social Development Canada",5208.00
"019307","CSD","Employment and Social Development Canada",833.00
"019311","CSD","Employment and Social Development Canada",772.00
"019311","DND","National Defence",445.00
"019311","995","Vacant",46.00
"019314","CSD","Employment and Social Development Canada",301.00
"019317","CSD","Employment and Social Development Canada",155.00
"019318","DUS","Innovation, Science and Economic Development Canada",969.00
"019323","CSD","Employment and Social Development Canada",434.00
"019325","DOE","Environment and Climate Change Canada",1163.00
"019371","IAN","Crown-Indigenous Relations and Northern Affairs Canada",876.00
"019372","CSD","Employment and Social Development Canada",3528.00
"019421","995","Vacant",583.00
"019422","CSD","Employment and Social Development Canada",477.00
"019423","CSD","Employment and Social Development Canada",306.00
"019451","CSD","Employment and Social Development Canada",388.00
"019452","995","Vacant",792.00
"019514","CSD","Employment and Social Development Canada",424.00
"019533","ICA","Canadian Food Inspection Agency",607.00
"019533","IMC","Immigration, Refugees and Citizenship Canada",349.00
"019589","CSD","Employment and Social Development Canada",675.00
"019594","CAP","Parks Canada Agency",504.00
"019596","CSD","Employment and Social Development Canada",470.00
"019714","DFO","Fisheries and Oceans Canada",507.00
"019764","DUS","Innovation, Science and Economic Development Canada",348.00
"019764","995","Vacant",587.00
"019764","ICA","Canadian Food Inspection Agency",187.00
"019764","NAR","Canada Revenue Agency",2611.00
"019764","PEN","Correctional Service of Canada",424.00
"019765","CSD","Employment and Social Development Canada",334.00
"019768","RCM","Royal Canadian Mounted Police",65.00
"019768","DVA","Veterans Affairs Canada",213.00
"019816","995","Vacant",89.00
"019818","995","Vacant",385.00
"019819","RCM","Royal Canadian Mounted Police",210.00
"019821","CSD","Employment and Social Development Canada",847.00
"019863","DFO","Fisheries and Oceans Canada",738.00
"019928","CSD","Employment and Social Development Canada",470.00
"019928","BSF","Canada Border Services Agency",94.00
"019933","995","Vacant",617.00
"019933","DFO","Fisheries and Oceans Canada",843.00
"019934","CSD","Employment and Social Development Canada",770.00
"019934","995","Vacant",152.00
"019934","990","Third Party",3130.00
"019934","BSF","Canada Border Services Agency",184.00
"019934","CAP","Parks Canada Agency",776.00
"019934","RSN","Natural Resources Canada",214.00
"019934","NED","Canadian Northern Economic Development Agency",420.00
"019934","IAN","Crown-Indigenous Relations and Northern Affairs Canada",2293.00
"019934","HER","Canadian Heritage",33.00
"019934","GSS","Shared Services Canada",30.00
"019934","NAR","Canada Revenue Agency",171.00
"019934","MOT","Transport Canada",130.00
"019934","JUS","Department of Justice",1416.00
"019934","IMC","Immigration, Refugees and Citizenship Canada",37.00
"019973","DFO","Fisheries and Oceans Canada",396.00
"019974","995","Vacant",1399.00
"019976","CSD","Employment and Social Development Canada",1073.00
"019979","DFO","Fisheries and Oceans Canada",658.00
"019979","PCO","Privy Council Office",498.00
"019981","AGR","Agriculture and Agri-Food Canada",582.00
"019995","CSD","Employment and Social Development Canada",588.00
"020055","DND","National Defence",499.00
"020402","DFO","Fisheries and Oceans Canada",379.00
"020420","CSD","Employment and Social Development Canada",419.00
"020496","995","Vacant",422.00
"020496","990","Third Party",420.00
"020496","RCM","Royal Canadian Mounted Police",66.00
"020581","CSD","Employment and Social Development Canada",339.00
"020582","CSD","Employment and Social Development Canada",1168.00
"020582","995","Vacant",128.00
"020621","CSD","Employment and Social Development Canada",1004.00
"020621","ICA","Canadian Food Inspection Agency",2904.00
"020622","DND","National Defence",1250.00
"020622","995","Vacant",634.00
"020674","995","Vacant",67.00
"020674","NAR","Canada Revenue Agency",6150.00
"020674","GSS","Shared Services Canada",31.00
"020752","GSS","Shared Services Canada",245.00
"020752","IMC","Immigration, Refugees and Citizenship Canada",435.00
"020752","PEN","Correctional Service of Canada",1376.00
"020752","STC","Statistics Canada",1585.00
"020752","995","Vacant",59.00
"020752","DOE","Environment and Climate Change Canada",3667.00
"020770","DFO","Fisheries and Oceans Canada",246.00
"020783","PSP","Public Safety Canada",379.00
"020783","GSS","Shared Services Canada",75.00
"020788","PEN","Correctional Service of Canada",101.00
"020790","995","Vacant",254.00
"020790","990","Third Party",165.00
"020807","CAP","Parks Canada Agency",173.00
"020838","DVA","Veterans Affairs Canada",1896.00
"020853","CSD","Employment and Social Development Canada",484.00
"020856","PCO","Privy Council Office",473.00
"020895","CSD","Employment and Social Development Canada",1593.00
"020897","ICA","Canadian Food Inspection Agency",461.00
"020899","CSD","Employment and Social Development Canada",884.00
"020900","PEN","Correctional Service of Canada",580.00
"020902","CGC","Canadian Grain Commission",797.00
"020915","CSD","Employment and Social Development Canada",390.00
"020918","CSD","Employment and Social Development Canada",413.00
"020924","CSD","Employment and Social Development Canada",318.00
"020933","CSD","Employment and Social Development Canada",351.00
"020937","IAN","Crown-Indigenous Relations and Northern Affairs Canada",2736.00
"020939","CSD","Employment and Social Development Canada",375.00
"020941","CSD","Employment and Social Development Canada",796.00
"020959","CSD","Employment and Social Development Canada",383.00
"020960","DND","National Defence",352.00
"020979","DFO","Fisheries and Oceans Canada",1202.00
"020980","CSD","Employment and Social Development Canada",454.00
"021007","CSD","Employment and Social Development Canada",356.00
"021010","DIS","Indigenous Services Canada",6257.00
"021010","GSS","Shared Services Canada",53.00
"021010","RSN","Natural Resources Canada",245.00
"021023","ICA","Canadian Food Inspection Agency",676.00
"021028","990","Third Party",418.00
"021028","995","Vacant",410.00
"021030","CSD","Employment and Social Development Canada",446.00
"021055","NAR","Canada Revenue Agency",5248.00
"021055","GSS","Shared Services Canada",22.00
"021056","CSD","Employment and Social Development Canada",1166.00
"021077","CSD","Employment and Social Development Canada",346.00
"021101","GSS","Shared Services Canada",17.00
"021101","RCM","Royal Canadian Mounted Police",963.00
"021103","CSD","Employment and Social Development Canada",359.00
"021114","GSS","Shared Services Canada",12.00
"021114","JUS","Department of Justice",9901.00
"021122","MOT","Transport Canada",449.00
"021126","DVA","Veterans Affairs Canada",1123.00
"021126","995","Vacant",16.00
"021126","BSF","Canada Border Services Agency",1400.00
"021151","995","Vacant",1021.00
