Directory of Federal Real Property
Real Property and Materiel Policy Division
Treasury Board of Canada Secretariat
Government of Canada

Security Level: Not Protected
Date: January 1st, 2023
Sort order:
Character set: ISO 8859 Latin 1
Field Delimiter: Comma
Text Qualifier: Double quote
Field Names: Included in line 16
Data: Begins on line 17
Help: DFRP-ADMIN-RBIF@tbs-sct.gc.ca

"Property Number (TEXT data)","Parcel Number (TEXT data)","Property Name","Custodian Code (TEXT data)","Custodian Name","Primary Use Group Code (TEXT data)","Primary Use Group","Interest Type Code (TEXT data)","Interest Type","Restriction on Interest Code (TEXT data)","Restriction on Interest","Street Address","Place Name","SGC Code (TEXT data)","Municipality","Province or Territory Code (TEXT data)","Province or Territory","Federal Electoral District Code (TEXT data)","Federal Electoral District","Country Code (TEXT data)","Country","City Code (TEXT data)","City","Land Area","Building Count","Floor Area","Exterior Parking","Interior Parking","Interior Parking Included in Floor Area","Latitude","Longitude","Positional Accuracy","Security Code (TEXT data)","Security Designation","Census Classification","Record Created On","Record Last Modified On"
"13613","00","51 Rogers Street Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","51 Rogers Street","","4604064","Lorne","46","Manitoba","007","Portage--Lisgar","CA","Canada","","","0.0000",1,"128.00",0,0,"No","49.530951","-98.556976",100,"0","Not Protected","Rural","2006-05-09 8:45:32 AM","2019-05-17 5:00:01 AM"
"13680","00","Chancery annex","060","Global Affairs Canada","45 ","Office","10","Crown Owned","00","No Restriction","Protected","Protected","","","","","","","SN","Senegal","001","Dakar","0.0370",1,"370.00",0,0,"Yes","Protected","Protected",0,"2","Specific Location Protected","","2006-06-13 8:41:15 AM","2021-11-18 5:00:01 AM"
"13686","00","Taxation Site","140","Public Services and Procurement Canada","45 ","Office","10","Crown Owned","10","Restriction not Defined","1955 Smith Street; Lot 38, Block 344, Plan 00RA12095","","4706027","Regina","47","Saskatchewan","009","Regina--Wascana","CA","Canada","","","0.2114",1,"5328.00",11,0,"No","50.448002","-104.614643",50,"0","Not Protected","Urban","1990-08-03 12:00:00 AM","2019-11-27 5:00:00 AM"
"13689","00","GC Site - Regina","140","Public Services and Procurement Canada","45 ","Office","10","Crown Owned","00","No Restriction","1975 Scarth Street; Lots 16 to 20, Block 345, Plan old 33","","4706027","Regina","47","Saskatchewan","009","Regina--Wascana","CA","Canada","","","0.1568",1,"3682.00",0,0,"No","50.447475","-104.610387",50,"0","Not Protected","Urban","1990-08-03 12:00:00 AM","2019-04-18 5:00:00 AM"
"13740","00","Office","162","Royal Canadian Mounted Police","45 ","Office","10","Crown Owned","00","No Restriction","SE ¼, Sec. 5, Twp. 18, Range 18, W2M","","4706029","Edenwold No. 158","47","Saskatchewan","008","Regina--Qu'Appelle","CA","Canada","","","4.7337",1,"134.00",0,0,"No","50.486060","-104.442170",20,"0","Not Protected","Rural","1990-08-08 12:00:00 AM","2021-07-19 12:00:00 PM"
"13767","00","625 Park Road N Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","625 Park Road North","","3529006","Brantford","35","Ontario","013","Brantford--Brant","CA","Canada","","","0.0000",1,"258.00",18,0,"No","43.186431","-80.250863",50,"0","Not Protected","Urban","2006-06-22 8:48:26 AM","2021-06-02 5:00:01 AM"
"13768","00","Judicial Complex Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","180 Queen Street West","","3520005","Toronto","35","Ontario","101","Spadina--Fort York","CA","Canada","","","0.0000",1,"16040.00",0,30,"No","43.650785","-79.388042",25,"0","Not Protected","Urban","2006-06-22 8:48:26 AM","2021-06-02 5:00:01 AM"
"13772","00","Fort Qu'Appelle First Nations and Inuit Health Office Land","091","Indigenous Services Canada","45 ","Office","10","Crown Owned","00","No Restriction","Block Z, Plan 101927796 & Block W, Plan 82R01656","","4706051","Fort Qu'Appelle","47","Saskatchewan","008","Regina--Qu'Appelle","CA","Canada","","","1.2900",2,"1335.00",0,0,"Yes","50.770420","-103.804580",100,"0","Not Protected","Rural","1990-01-18 12:00:00 AM","2022-07-27 5:00:00 AM"
"13850","00","815 Taylor Creek Drive Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","815 Taylor Creek Drive","","3506008","Ottawa","35","Ontario","076","Orléans","CA","Canada","","","0.0000",1,"653.00",22,0,"No","45.491930","-75.486723",25,"0","Not Protected","Rural","2006-07-11 9:04:01 AM","2020-03-12 12:00:00 PM"
"13936","00","Valleyview Community Office (Sturgeon Lake Indian Reserve), Western Alberta District","162","Royal Canadian Mounted Police","45 ","Office","24","Lease or Licence","00","No Restriction","SW of S19-T70-R23, W5M","","4818018","Valleyview","48","Alberta","028","Peace River--Westlock","CA","Canada","","","0.0000",1,"66.00",0,0,"No","55.069200","-117.274500",100,"0","Not Protected","Rural","2006-07-28 10:29:54 AM","2021-07-19 12:00:00 PM"
"13956","00","431 De la Madone Street Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","431 de la Madone Street","","2479088","Mont-Laurier","24","Quebec","038","Laurentides--Labelle","CA","Canada","","","0.0000",1,"432.00",20,0,"No","46.551980","-75.500822",100,"0","Not Protected","Rural","2006-08-03 8:26:01 AM","2019-05-17 5:00:01 AM"
"14024","00","Des Monts Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","10 Ste-Anne Boulevard West","","2404037","Sainte-Anne-des-Monts","24","Quebec","026","Gaspésie--Les Îles-de-la-Madeleine","CA","Canada","","","0.0000",1,"397.00",0,0,"No","49.125308","-66.485715",100,"0","Not Protected","Rural","2006-09-13 9:14:51 AM","2019-12-17 5:00:01 AM"
"14071","00","Skidegate Community Office, North District","162","Royal Canadian Mounted Police","45 ","Office","24","Lease or Licence","00","No Restriction","888 Hwy 16","","5947804","Skidegate 1","59","British Columbia","028","Skeena--Bulkley Valley","CA","Canada","","","0.0000",1,"51.00",0,0,"No","53.269680","-131.989300",10,"0","Not Protected","Rural","2006-10-03 8:47:43 AM","2021-07-19 12:00:00 PM"
"14076","00","Malvern Town Centre Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","31 Tapscott Road, Unit #T-30/31","","3520005","Toronto","35","Ontario","096","Scarborough North","CA","Canada","","","0.0000",1,"268.00",0,0,"No","43.806785","-79.222590",25,"0","Not Protected","Urban","2006-10-11 9:11:23 AM","2020-03-12 12:00:00 PM"
"14078","00","1401 Dundas Street Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","1401 Dundas Street","","3532042","Woodstock","35","Ontario","080","Oxford","CA","Canada","","","0.0000",1,"220.00",5,0,"No","43.138470","-80.707651",25,"0","Not Protected","Urban","2006-10-11 9:11:23 AM","2020-03-12 12:00:00 PM"
"14080","00","Woodlawn Square Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","259 Woodlawn Road West","","3523008","Guelph","35","Ontario","032","Guelph","CA","Canada","","","0.0000",1,"1558.00",16,0,"No","43.552579","-80.296004",10,"0","Not Protected","Urban","2006-10-11 9:11:23 AM","2021-06-02 5:00:01 AM"
"14177","00","GC Site - Saskatoon","140","Public Services and Procurement Canada","45 ","Office","10","Crown Owned","00","No Restriction","101 22 Street East; Lots 15 to 20, Block 148, Plan C195(Q2)","","4711066","Saskatoon","47","Saskatchewan","012","Saskatoon West","CA","Canada","","","0.1951",1,"8154.00",6,0,"No","52.128649","-106.665157",50,"0","Not Protected","Urban","1990-08-03 12:00:00 AM","2019-04-18 5:00:00 AM"
"14196","00","Office","162","Royal Canadian Mounted Police","45 ","Office","24","Lease or Licence","00","No Restriction","575 Brunswick St","","5953023","Prince George","59","British Columbia","024","Prince George--Peace River--Northern Rockies","CA","Canada","","","0.0000",1,"322.00",0,0,"No","53.915600","-122.749020",10,"0","Not Protected","Rural","2006-11-03 8:48:45 AM","2021-07-19 12:00:00 PM"
"14224","00","The Consulate of Canada, Guadalajara","060","Global Affairs Canada","45 ","Office","24","Lease or Licence","00","No Restriction","Av. Mariano Otero 1249-Area B frcc. Guadalajara","","","","","","","","MX","Mexico","003","Guadalajara","0.0000",1,"946.00",0,0,"Yes","","",0,"0","Not Protected","","2006-11-22 9:00:50 AM","2011-12-09 3:33:51 PM"
"14225","00","1484 Centennial Dr Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","1484 Centennial Drive","","3510010","Kingston","35","Ontario","044","Kingston and the Islands","CA","Canada","","","0.0000",1,"7248.00",11,0,"No","44.280508","-76.567205",25,"0","Not Protected","Rural","2006-11-22 9:00:50 AM","2020-10-02 12:00:00 PM"
"14321","00","Sweetland's Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","232 Confederation Drive","","1007023","Bonavista","10","Newfoundland and Labrador","002","Bonavista--Burin--Trinity","CA","Canada","","","0.0300",1,"180.00",8,0,"No","48.642810","-53.102220",200,"0","Not Protected","Rural","2007-01-09 9:13:06 AM","2019-04-18 5:00:00 AM"
"14341","00","Michel C. Leger Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","295 Belliveau Avenue","","1307052","Shediac","13","New Brunswick","002","Beauséjour","CA","Canada","","","0.0000",1,"3913.00",4,0,"No","46.221960","-64.537263",25,"0","Not Protected","Rural","2007-01-15 9:50:12 AM","2020-03-12 12:00:00 PM"
"14356","00","Proservin Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","17660 Charles Street","","2474005","Mirabel","24","Quebec","048","Mirabel","CA","Canada","","","0.0000",1,"299.00",10,0,"No","45.695702","-73.932331",100,"0","Not Protected","Rural","2007-01-24 9:05:28 AM","2019-05-17 5:00:01 AM"
"14380","00","The Consulate of Canada, Palo Alto","060","Global Affairs Canada","45 ","Office","24","Lease or Licence","00","No Restriction","245 Lytton Avenue, Palo Alto, California","","","","","","","","US","United States","049","Palo Alto, California","0.0000",1,"243.00",0,0,"Yes","","",0,"0","Not Protected","","2007-02-05 1:48:02 PM","2011-12-09 3:33:51 PM"
"14437","00","17735 1st Avenue Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","167 - 17735 1st Avenue","","5915004","Surrey","59","British Columbia","030","South Surrey--White Rock","CA","Canada","","","0.0000",1,"308.00",6,0,"No","49.004338","-122.731340",25,"0","Not Protected","Urban","2007-03-06 8:32:16 AM","2021-07-19 12:00:00 PM"
"14444","00","40 Weber Street East Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","40 Weber Street East","","3530013","Kitchener","35","Ontario","045","Kitchener Centre","CA","Canada","","","0.0000",1,"1016.00",0,0,"No","43.451104","-80.484852",50,"0","Not Protected","Urban","2007-03-15 8:54:32 AM","2019-05-17 5:00:01 AM"
"14445","00","187 Booth Road Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","187 Booth Road","","3548044","North Bay","35","Ontario","070","Nipissing--Timiskaming","CA","Canada","","","0.4000",1,"1215.00",22,0,"No","46.265540","-79.419250",5,"0","Not Protected","Rural","2007-03-15 8:54:32 AM","2019-04-18 5:00:00 AM"
"14446","00","Region of Waterloo International Airport Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","4881 Fountain Street North","","3530035","Woolwich","35","Ontario","046","Kitchener--Conestoga","CA","Canada","","","0.0000",1,"121.00",0,0,"No","43.455834","-80.385917",50,"0","Not Protected","Rural","2007-03-15 8:54:32 AM","2021-06-02 5:00:01 AM"
"14447","00","Talbot Centre Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","465 Richmond Street","","3539036","London","35","Ontario","052","London North Centre","CA","Canada","","","0.0000",1,"302.00",0,0,"No","42.985660","-81.250850",10,"0","Not Protected","Urban","2007-03-15 8:54:32 AM","2019-04-18 5:00:00 AM"
"14449","00","145 Renfrew Drive Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","145 Renfrew Drive","","3519036","Markham","35","Ontario","056","Markham--Unionville","CA","Canada","","","0.0000",1,"603.00",9,0,"No","43.859800","-79.362460",10,"0","Not Protected","Urban","2007-03-15 8:54:32 AM","2019-12-11 12:00:00 PM"
"14458","00","520 Exmouth Street Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","520 Exmouth Street","","3538030","Sarnia","35","Ontario","091","Sarnia--Lambton","CA","Canada","","","0.0000",1,"3067.00",85,0,"No","42.986885","-82.386799",25,"0","Not Protected","Rural","2007-03-15 8:54:32 AM","2019-05-17 5:00:01 AM"
"14478","00","Office","162","Royal Canadian Mounted Police","45 ","Office","24","Lease or Licence","00","No Restriction","123 Central Ave","","4706002","Montmartre","47","Saskatchewan","013","Souris--Moose Mountain","CA","Canada","","","0.0000",1,"135.00",0,0,"No","50.218740","-103.448280",20,"0","Not Protected","Rural","2007-04-04 3:39:18 PM","2021-07-19 12:00:00 PM"
"14487","00","12008 - 8th Street Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","12008 - 8th Street","","5955014","Dawson Creek","59","British Columbia","024","Prince George--Peace River--Northern Rockies","CA","Canada","","","0.0000",1,"198.00",4,0,"No","55.740063","-120.223496",25,"0","Not Protected","Urban","2007-04-04 3:39:18 PM","2021-07-19 12:00:00 PM"
"14488","00","1508 - 102nd Avenue Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","1508 - 102nd Avenue","","5955014","Dawson Creek","59","British Columbia","024","Prince George--Peace River--Northern Rockies","CA","Canada","","","0.0000",1,"323.00",1,0,"No","55.759744","-120.245120",25,"0","Not Protected","Urban","2007-04-04 3:39:18 PM","2021-07-19 12:00:00 PM"
"14612","00","Office","162","Royal Canadian Mounted Police","45 ","Office","24","Lease or Licence","00","No Restriction","234-777 Aviation Ave","","1307045","Dieppe","13","New Brunswick","007","Moncton--Riverview--Dieppe","CA","Canada","","","0.0000",1,"49.00",0,0,"No","46.112220","-64.678610",20,"0","Not Protected","Rural","2007-06-04 8:47:52 AM","2021-07-19 12:00:00 PM"
"14711","00","131 Queen Street Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","131 Queen Street","","3506008","Ottawa","35","Ontario","075","Ottawa Centre","CA","Canada","","","0.0000",1,"25883.00",0,167,"No","45.421710","-75.698700",25,"0","Not Protected","Rural","2007-06-20 2:04:41 PM","2019-04-18 5:00:00 AM"
"14714","00","Chancery annex","060","Global Affairs Canada","45 ","Office","24","Lease or Licence","00","No Restriction","Protected","Protected","","","","","","","SY","Syrian Arab Republic","001","Damascus","0.0000",1,"248.00",0,0,"Yes","Protected","Protected",0,"2","Specific Location Protected","","2007-06-25 2:02:36 PM","2021-10-27 5:00:00 AM"
"14739","00","979 Route 776 Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","979 Route 776","","1302052","Grand Manan","13","New Brunswick","008","New Brunswick Southwest","CA","Canada","","","0.0100",1,"250.00",8,0,"No","44.696221","-66.749978",25,"0","Not Protected","Rural","2007-07-03 1:47:18 PM","2020-03-12 12:00:00 PM"
"14785","00","Glencoe Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","132 Glencoe Drive","","1001542","Mount Pearl","10","Newfoundland and Labrador","007","St. John's South--Mount Pearl","CA","Canada","","","0.0000",1,"3390.00",3,0,"No","47.511178","-52.848380",50,"0","Not Protected","Urban","2007-07-19 8:49:00 AM","2021-07-19 12:00:00 PM"
"14794","00","5611 Cooney Road Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","5611 Cooney Road","","5915015","Richmond","59","British Columbia","025","Richmond Centre","CA","Canada","","","0.0000",1,"1371.00",0,0,"No","49.172371","-123.131870",25,"0","Not Protected","Urban","2007-10-11 1:47:21 PM","2021-07-19 12:00:00 PM"
"14917","00","The Consulate General of Canada, Monterrey","060","Global Affairs Canada","45 ","Office","24","Lease or Licence","00","No Restriction","955 Avenue Gomez Morin sur Montebello Nuevo Leon","","","","","","","","MX","Mexico","002","Monterrey","0.0000",1,"1043.00",0,0,"Yes","","",0,"0","Not Protected","","2007-09-07 8:24:07 AM","2011-12-09 3:33:51 PM"
"14928","00","355 Kelsey Trail Development Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","Unit 1 - 355 Kelsey Trail","","4620048","Swan River","46","Manitoba","004","Dauphin--Swan River--Neepawa","CA","Canada","","","0.0000",1,"243.00",0,0,"No","52.112785","-101.250360",100,"0","Not Protected","Urban","2007-09-07 8:24:07 AM","2019-05-17 5:00:01 AM"
"14934","00","Carling Square - Tower I Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","560 Rochester Street","","3506008","Ottawa","35","Ontario","075","Ottawa Centre","CA","Canada","","","0.0000",1,"5343.00",0,0,"No","45.398629","-75.706113",25,"0","Not Protected","Rural","2007-09-17 8:25:53 AM","2020-03-12 12:00:00 PM"
"14936","00","Carling Square - Tower II Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","785 Carling Avenue","","3506008","Ottawa","35","Ontario","075","Ottawa Centre","CA","Canada","","","0.0000",1,"8655.00",6,116,"No","45.398479","-75.706581",25,"0","Not Protected","Rural","2007-09-17 8:25:53 AM","2020-03-12 12:00:00 PM"
"14948","00","Wild Horse Border Crossing","155","Canada Border Services Agency","45 ","Office","10","Crown Owned","00","No Restriction","Highway 41","Cypress County, Wild Horse, Alberta, T0K 1L0","4801003","Cypress County","48","Alberta","027","Medicine Hat--Cardston--Warner","CA","Canada","","","2.0173",8,"628.00",0,0,"Yes","49.000283","-110.217643",75,"0","Not Protected","Isolated","1990-02-05 12:00:00 AM","2021-04-15 5:00:01 AM"
"14954","00","Office","162","Royal Canadian Mounted Police","45 ","Office","24","Lease or Licence","00","No Restriction","1-5201 Regina Ave","","4706027","Regina","47","Saskatchewan","005","Moose Jaw--Lake Centre--Lanigan","CA","Canada","","","0.0000",1,"13.00",0,0,"No","50.435130","-104.646260",100,"0","Not Protected","Urban","2007-09-26 8:16:52 AM","2021-07-19 12:00:00 PM"
"14965","00","Aden Border Crossing","155","Canada Border Services Agency","45 ","Office","10","Crown Owned","00","No Restriction","Highway 880, P.O. Box 17","Aden, Alberta","4801008","Forty Mile County No. 8","48","Alberta","027","Medicine Hat--Cardston--Warner","CA","Canada","","","0.8094",3,"129.00",0,0,"Yes","48.997785","-111.258181",250,"0","Not Protected","Isolated","1990-02-05 12:00:00 AM","2021-04-16 12:00:00 PM"
"14966","00","Mapleton Place Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","10 Gateway Street","","1305022","Sussex","13","New Brunswick","004","Fundy Royal","CA","Canada","","","0.0000",1,"384.00",2,0,"No","45.726940","-65.528670",100,"0","Not Protected","Urban","2007-10-02 8:51:50 AM","2019-05-17 5:00:01 AM"
"14968","00","Hartley Bay Community Office, North District","162","Royal Canadian Mounted Police","45 ","Office","24","Lease or Licence","00","No Restriction","717 Wah Modum Blvd","","5947806","Kulkayu (Hartley Bay) 4","59","British Columbia","028","Skeena--Bulkley Valley","CA","Canada","","","0.0000",1,"160.00",0,0,"No","53.425300","-129.250830",20,"0","Not Protected","Rural","2007-10-11 1:47:21 PM","2021-07-19 12:00:00 PM"
"14975","00","Office","162","Royal Canadian Mounted Police","45 ","Office","24","Lease or Licence","00","No Restriction","6000 Alaska Hwy","","5955030","Taylor","59","British Columbia","024","Prince George--Peace River--Northern Rockies","CA","Canada","","","0.0000",1,"325.00",0,0,"No","56.147160","-120.676190",20,"0","Not Protected","Rural","2007-10-17 8:48:46 AM","2021-07-19 12:00:00 PM"
"14983","00","Coutts Border Crossing","155","Canada Border Services Agency","45 ","Office","10","Crown Owned","00","No Restriction","Highway 4, P.O. 220","Coutts, Alberta","4802002","Coutts","48","Alberta","027","Medicine Hat--Cardston--Warner","CA","Canada","","","15.0000",5,"3742.00",66,0,"Yes","48.998999","-111.960179",200,"0","Not Protected","Rural","1990-08-03 12:00:00 AM","2021-04-16 5:00:00 AM"
"15006","00","John D. Higinbotham Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","704 4th Avenue South","","4802012","Lethbridge","48","Alberta","026","Lethbridge","CA","Canada","","","0.0000",1,"318.00",0,0,"No","49.693884","-112.836508",50,"0","Not Protected","Urban","1990-08-03 12:00:00 AM","2020-11-20 5:00:00 AM"
"15036","00","14 Colonnade Road Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","14 Colonnade Road","","3506008","Ottawa","35","Ontario","079","Ottawa West--Nepean","CA","Canada","","","0.0000",1,"1320.00",0,0,"No","45.341539","-75.721681",25,"0","Not Protected","Rural","2016-04-18 12:00:00 PM","2022-09-21 12:00:00 PM"
"15038","00","Del Bonita Border Crossing (CBSA)","155","Canada Border Services Agency","45 ","Office","10","Crown Owned","00","No Restriction","Highway  62, General Delivery","Del Bonita, Alberta","4803001","Cardston County","48","Alberta","027","Medicine Hat--Cardston--Warner","CA","Canada","","","1.8211",6,"240.00",6,0,"Yes","48.999637","-112.787609",200,"0","Not Protected","Rural","1990-02-05 12:00:00 AM","2021-04-16 12:00:00 PM"
"15041","00","Carway Border Crossing","155","Canada Border Services Agency","45 ","Office","10","Crown Owned","00","No Restriction","Highway 2, P.O. Box 699","Carway, Alberta","4803001","Cardston County","48","Alberta","027","Medicine Hat--Cardston--Warner","CA","Canada","","","2.7923",5,"1315.00",8,0,"Yes","48.999809","-113.378809",500,"0","Not Protected","Rural","1990-08-03 12:00:00 AM","2021-04-16 5:00:00 AM"
"15098","00","Chancery annex","060","Global Affairs Canada","45 ","Office","24","Lease or Licence","00","No Restriction","Protected","Protected","","","","","","","SY","Syrian Arab Republic","001","Damascus","0.0000",1,"248.00",0,0,"Yes","Protected","Protected",0,"2","Specific Location Protected","","2007-10-30 10:41:40 AM","2021-10-27 5:00:00 AM"
"15146","00","555 McAllister Drive Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","555 McAllister Drive","","1301006","Saint John","13","New Brunswick","009","Saint John--Rothesay","CA","Canada","","","0.0000",0,"0.00",3,0,"No","45.303107","-66.007846",100,"0","Not Protected","Rural","2007-11-02 4:14:52 PM","2022-12-20 12:00:00 PM"
"15148","00","1020 De l'Église Road Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","1020 De l'Église Road","","2423027","Québec","24","Quebec","044","Louis-Hébert","CA","Canada","","","0.0000",1,"436.00",2,0,"No","46.771428","-71.296120",100,"0","Not Protected","Urban","2007-11-05 8:46:51 AM","2019-05-17 5:00:01 AM"
"15155","00","Carlisle Place Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","650 Main Street","","1311006","Woodstock","13","New Brunswick","010","Tobique--Mactaquac","CA","Canada","","","0.0000",1,"251.00",6,0,"No","46.150390","-67.573152",50,"0","Not Protected","Rural","2007-11-08 8:54:02 AM","2019-05-17 5:00:01 AM"
"15179","00","Middleton Office, Annapolis County Detachment","162","Royal Canadian Mounted Police","45 ","Office","24","Lease or Licence","00","No Restriction","131 Commercial St","","1205016","Middleton","12","Nova Scotia","011","West Nova","CA","Canada","","","0.0000",1,"134.00",0,0,"No","44.944520","-65.069530",20,"0","Not Protected","Rural","2007-11-15 8:59:56 AM","2021-07-19 12:00:00 PM"
"15200","00","Charlottetown Airport Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","250 Maple Hills Avenue","","1102075","Charlottetown","11","Prince Edward Island","002","Charlottetown","CA","Canada","","","0.0000",1,"129.00",2,0,"No","46.285378","-63.131398",25,"0","Not Protected","Urban","2007-12-10 8:23:33 AM","2020-03-05 12:00:00 PM"
"15208","00","22 De Varennes Street Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","22 De Varennes Street","","2481017","Gatineau","24","Quebec","027","Gatineau","CA","Canada","","","0.0000",1,"10057.00",300,0,"No","45.493747","-75.706323",25,"0","Not Protected","Urban","2007-11-28 8:27:17 AM","2020-03-12 12:00:00 PM"
"15226","00","Harry Hays Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","220 4 Avenue SE","","4806016","Calgary","48","Alberta","004","Calgary Centre","CA","Canada","","","0.0000",1,"42802.00",4,127,"No","51.049958","-114.058940",10,"0","Not Protected","Urban","1990-08-03 12:00:00 AM","2021-07-07 5:00:00 AM"
"15229","00","245 Saint-Jean-Baptiste Boulevard Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","245 Saint-Jean-Baptiste Boulevard","","2467050","Châteauguay","24","Quebec","021","Châteauguay--Lacolle","CA","Canada","","","0.0000",1,"403.00",0,0,"No","45.346675","-73.723582",100,"0","Not Protected","Urban","2007-12-06 9:13:12 AM","2019-11-27 5:00:00 AM"
"15234","00","250 Queen Street Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","250 Queen Street","","1102075","Charlottetown","11","Prince Edward Island","002","Charlottetown","CA","Canada","","","0.0000",1,"204.00",2,0,"No","46.236474","-63.130506",100,"0","Not Protected","Urban","2007-12-10 8:23:33 AM","2019-05-17 5:00:01 AM"
"15235","00","20110 Lougheed Highway Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","106 - 20110 Lougheed Highway","","5915075","Maple Ridge","59","British Columbia","022","Pitt Meadows--Maple Ridge","CA","Canada","","","0.0000",1,"481.00",6,0,"No","49.220132","-122.663990",25,"0","Not Protected","Rural","2007-12-13 8:53:43 AM","2021-07-19 12:00:00 PM"
"15247","00","Bi-Rite Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","7 Harris Drive","","1002024","Marystown","10","Newfoundland and Labrador","002","Bonavista--Burin--Trinity","CA","Canada","","","0.0300",1,"375.00",20,0,"No","47.175124","-55.154096",200,"0","Not Protected","Rural","2007-12-13 8:53:43 AM","2021-07-19 12:00:00 PM"
"15280","00","Fisheries Site - Glovertown","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","330-342 Main Street","","1007044","Glovertown","10","Newfoundland and Labrador","002","Bonavista--Burin--Trinity","CA","Canada","","","0.0300",1,"204.00",8,0,"No","48.670625","-53.984339",100,"0","Not Protected","Rural","2007-12-20 9:07:03 AM","2021-07-19 12:00:00 PM"
"15295","00","721 Centre Street Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","721 Centre Street","","3552026","Espanola","35","Ontario","002","Algoma--Manitoulin--Kapuskasing","CA","Canada","","","0.0000",1,"229.00",0,0,"No","46.248000","-81.760846",25,"0","Not Protected","Rural","2007-12-27 9:26:48 AM","2019-05-17 5:00:01 AM"
"15296","00","Broad Street Crossing Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","1800 11 Avenue","","4706027","Regina","47","Saskatchewan","009","Regina--Wascana","CA","Canada","","","0.0000",1,"1172.00",2,28,"No","50.450825","-104.606942",25,"0","Not Protected","Urban","2007-12-28 10:38:32 AM","2019-12-11 12:00:00 PM"
"15298","00","1677 Sidney Street W Site","140","Public Services and Procurement Canada","45 ","Office","24","Lease or Licence","00","No Restriction","1677 Sidney Street W","","4708004","Swift Current","47","Saskatchewan","002","Cypress Hills--Grasslands","CA","Canada","","","0.0000",1,"306.00",9,0,"No","50.288682","-107.822278",50,"0","Not Protected","Urban","2007-12-28 10:38:32 AM","2019-05-17 5:00:01 AM"
